## kurtosis calculated with 20k gens (gets somewhat smoother with more gens)
## KL div calculated using theta = 400
gamma,KLdiv,KLdivrev,kurtosis
-1.000000000000000000e+02,2.135136799581065503e+00,1.389563325163128527e+00,1.880386562195143938e+02
-7.943282347242814012e+01,1.806568875641650473e+00,1.311599605090199461e+00,1.658978388645873849e+02
-6.309573444801932851e+01,1.527285565339075557e+00,1.232382953031209372e+00,1.479510030607426074e+02
-5.011872336272722350e+01,1.286276800681139587e+00,1.151234701719757281e+00,1.333631533340284250e+02
-3.981071705534973404e+01,1.075693736347168583e+00,1.067400576869467876e+00,1.214779324516918280e+02
-3.162277660168379256e+01,8.896577348753856862e-01,9.799318303086269610e-01,1.117784754145928332e+02
-2.511886431509579509e+01,7.233986124922111571e-01,8.875827732300618500e-01,1.038579337034498025e+02
-1.995262314968878670e+01,5.765155495296012678e-01,7.890094160509528720e-01,9.739583829827198258e+01
-1.584893192461113287e+01,4.533509439329407864e-01,6.835843265994691054e-01,9.213887563482141729e+01
-1.258925411794167459e+01,3.504441784200319487e-01,5.725520026449931743e-01,8.788721722908832135e+01
-1.000000000000000000e+01,2.641465013359113323e-01,4.595985891969164294e-01,8.448304606222532698e+01
-7.943282347242813124e+00,1.914347854625749468e-01,3.502475003106524931e-01,8.180063457853852071e+01
-6.309573444801929831e+00,1.310972442596061160e-01,2.504957255286029971e-01,7.973512135256491717e+01
-5.011872336272721995e+00,8.392668184418558552e-02,1.655572264728078502e-01,7.818942920066351121e+01
-3.981071705534971361e+00,4.993091002177353632e-02,9.927184607389581694e-02,7.706653041537104798e+01
-3.162277660168379523e+00,2.753144255064585155e-02,5.340052695861784854e-02,7.627122303656956603e+01
-2.511886431509579687e+00,1.412140068697896947e-02,2.595278849879074229e-02,7.571771918434575355e+01
-1.995262314968878847e+00,6.807831911590289664e-03,1.164490017782697680e-02,7.533585788077895984e+01
-1.584893192461113376e+00,3.125756774272177990e-03,4.943654087504802466e-03,7.507261507986135030e+01
-1.258925411794166838e+00,1.383849436579470855e-03,2.025984388381899329e-03,7.489017656094677022e+01
-1.000000000000000000e+00,5.964667019331022779e-04,8.129471141918131853e-04,7.476256385120960601e+01
-7.260274278048122198e-01,1.795681819373243227e-04,2.240836056813270624e-04,7.464429213138296859e+01
-5.050269707912097283e-01,4.482902100341333747e-05,5.140979726047474260e-05,7.456150440985894079e+01
-3.321500562749440943e-01,8.788552397111151077e-06,9.451336408973325109e-06,7.450439154422208787e+01
-2.023472880114298988e-01,1.228391745937971232e-06,1.205197261217613811e-06,7.446589438383254844e+01
-1.103236598834485410e-01,1.814288030572611772e-07,1.129743668195704390e-08,7.444085019460689523e+01
-5.047193595638749253e-02,-2.181626802178111574e-09,9.251395808231252797e-09,7.442555755544411511e+01
-1.676425636821948090e-02,5.834646987345936184e-08,-4.652209612834836349e-08,7.441727292776126035e+01
-2.547416319185680754e-03,-7.694065172494959075e-08,6.909957581300440134e-08,7.441387000001344632e+01
0.000000000000000000e+00,-1.664190409941637306e-08,1.664190731043867816e-08,7.441319616305113982e+01
2.547416319185680754e-03,-6.909405160240816073e-08,7.694573789731563390e-08,7.441263469194781521e+01
1.676425636821948090e-02,4.679672246618140686e-08,-5.797926810375379227e-08,7.440929819232563602e+01
5.047193595638749253e-02,-3.661524120570313050e-10,1.498368316041285837e-08,7.440147832110447723e+01
1.103236598834485410e-01,2.015266363071512511e-07,6.619937728621504060e-08,7.438820101333061530e+01
2.023472880114298988e-01,1.303510157362749262e-06,1.341967213667420028e-06,7.436920134992007547e+01
3.321500562749440943e-01,9.331855504089887898e-06,8.841826305297940253e-06,7.434534277430906002e+01
5.050269707912097283e-01,5.206045327637860275e-05,4.416330756440325737e-05,7.431858480936772082e+01
7.260274278048122198e-01,2.293286029810583104e-04,1.748758312790296698e-04,7.429219870352352473e+01
1.000000000000000000e+00,8.480776166696732572e-04,5.670967926640242684e-04,7.427072832465184149e+01
1.258925411794166838e+00,2.165630778374137699e-03,1.275391367814503532e-03,7.426023325692740684e+01
1.584893192461113376e+00,5.488084609818489820e-03,2.742392452472680597e-03,7.425753618948519374e+01
1.995262314968878847e+00,1.370931781727163790e-02,5.526730179446881497e-03,7.426502850176032666e+01
2.511886431509579687e+00,3.342461533569514309e-02,1.019187211792390094e-02,7.427741970828689944e+01
3.162277660168379523e+00,7.854147622411984664e-02,1.681891282612477112e-02,7.426475057543233049e+01
3.981071705534971361e+00,1.755457019053291434e-01,2.463921319310513960e-02,7.412804891047741762e+01
5.011872336272721995e+00,3.694831061958870344e-01,3.254960898355426652e-02,7.359323096037570622e+01
6.309573444801929831e+00,7.288230756419146195e-01,4.000393971763603618e-02,7.200996889890453190e+01
7.943282347242813124e+00,1.345337381774485586e+00,4.709020892681096970e-02,6.819636168454204039e+01
1.000000000000000000e+01,2.327068891889974456e+00,5.411271256809627173e-02,6.105534693663385326e+01
1.258925411794167459e+01,3.798407116083688972e+00,6.137072850086299630e-02,5.113628536951613768e+01
1.584893192461113287e+01,5.911032574226140923e+00,6.914585613453724799e-02,4.047770878689829743e+01
1.995262314968878670e+01,8.852005942781131509e+00,7.773391986791813868e-02,3.066825462123245671e+01
2.511886431509579509e+01,1.285353919011379276e+01,8.747230261223964964e-02,2.241492496666749901e+01
3.162277660168379256e+01,1.795988026984224817e+01,9.876547637185158213e-02,1.595308156470474614e+01
3.981071705534973404e+01,2.377086228488625252e+01,1.121079621313553903e-01,1.124653654028362482e+01
5.011872336272722350e+01,2.990723485253738190e+01,1.281118231650122952e-01,8.105285956240571466e+00
6.309573444801932851e+01,3.591213215026627381e+01,1.475270219957870443e-01,6.288231391792356462e+00
7.943282347242814012e+01,4.138603353785570249e+01,1.712602315376511031e-01,5.574089741184614866e+00
1.000000000000000000e+02,4.607848614464861470e+01,2.003798260561225897e-01,5.798161065064736164e+00
