tid,gamma,trueage,relmid,impsamp,freqonly
400,0,-0.06841,-0.14466,-0.15751,0.02759
420,0,-0.12991,-0.2155,-0.2362,-0.02767
440,0,-0.07167,-0.14566,-0.16241,0.04052
460,0,0.20249,0.26362,0.25136,0.32587
480,0,-0.22766,-0.35487,-0.37523,-0.13808
500,0,-0.06413,-0.11611,-0.12153,0.0369
520,0,-0.01418,-0.06328,-0.06978,0.0799
540,0,-0.09087,-0.19459,-0.21451,-0.00079
560,0,0.08678,0.09806,0.08468,0.20246
580,0,-0.30124,-0.46674,-0.49311,-0.25366
600,0,0.01971,-0.02284,-0.02313,0.13372
620,0,-0.11999,-0.19056,-0.20762,-0.03553
640,0,-0.00489,-0.08825,-0.08817,0.08852
660,0,-0.15212,-0.27832,-0.28681,-0.0584
680,0,-0.22022,-0.3484,-0.37582,-0.12706
700,0,0.00099,-0.0691,-0.06978,0.10512
720,0,-0.23761,-0.34282,-0.37215,-0.16378
740,0,-0.05531,-0.11319,-0.11037,0.04387
760,0,-0.12104,-0.20342,-0.20772,-0.01682
780,0,-0.07637,-0.08304,-0.09422,0.02757
800,0,0.17079,0.17984,0.1677,0.26971
820,0,-0.53081,-0.68439,-0.70857,-0.45044
840,0,-0.26159,-0.404,-0.42413,-0.19166
860,0,-0.08396,-0.15618,-0.171,0.02176
880,0,-0.00166,-0.03532,-0.0487,0.111
900,0,-0.38919,-0.50037,-0.5115,-0.29432
920,0,-0.16015,-0.27127,-0.28926,-0.05964
940,0,-0.19436,-0.28122,-0.2896,-0.10579
960,0,0.17592,0.21728,0.19993,0.28374
980,0,-0.1453,-0.25789,-0.26452,-0.05256
1000,0,-0.14925,-0.27246,-0.27563,-0.04256
1020,0,0.16826,0.17078,0.15281,0.27076
1040,0,-0.32835,-0.4371,-0.44604,-0.20997
1060,0,0.09281,0.12312,0.11114,0.19146
1080,0,-0.20755,-0.33367,-0.33634,-0.12055
1100,0,0.10569,0.08443,0.07316,0.21632
1120,0,0.03665,-0.00709,-0.01278,0.14171
1140,0,0.09391,0.08671,0.07473,0.21
1160,0,-0.25032,-0.40512,-0.40474,-0.16743
1180,0,-0.14099,-0.26098,-0.26728,-0.0521
1200,0,-0.11886,-0.21206,-0.21698,-0.00885
1220,0,0.04616,0.02213,0.01997,0.14132
1240,0,-0.0071,-0.01515,-0.02761,0.08741
1260,0,0.10775,0.11446,0.1061,0.21213
1280,0,-0.10969,-0.16324,-0.16142,-0.0126
1300,0,0.02707,-0.03872,-0.04725,0.12911
1320,0,0.19918,0.25751,0.25736,0.29408
1340,0,-0.01421,-0.07557,-0.07521,0.08174
1360,0,-0.05957,-0.09579,-0.0983,0.04834
1380,0,-0.00872,-0.08375,-0.07787,0.0879
1400,0,0.01986,-0.02554,-0.0404,0.12522
1420,0,-0.11918,-0.2309,-0.2388,-0.03224
1440,0,0.03191,-0.01514,-0.02431,0.14032
1460,0,0.00228,-0.04805,-0.04735,0.09984
1480,0,-0.07408,-0.17571,-0.18858,0.02901
1500,0,0.16128,0.20836,0.1945,0.26337
1520,0,0.42388,0.65518,0.66801,0.57579
1540,0,0.02489,-0.01354,-0.02185,0.13468
1560,0,0.06694,0.05739,0.04745,0.17634
1580,0,-0.02338,-0.1085,-0.11437,0.07222
1600,0,0.05567,0.00771,0.01079,0.15311
1620,0,-0.04762,-0.11336,-0.11932,0.05665
1640,0,-0.0384,-0.11911,-0.11437,0.07088
1660,0,0.00572,-0.06625,-0.07307,0.09063
1680,0,0.12794,0.1616,0.14874,0.2361
1700,0,-2e-05,-0.04051,-0.05351,0.10053
1720,0,-0.00884,-0.05675,-0.05834,0.09475
1740,0,0.05891,0.05579,0.03274,0.16263
1760,0,0.04487,0.04318,0.04174,0.15021
1780,0,0.12986,0.14315,0.12939,0.24094
1800,0,-0.20735,-0.32882,-0.34512,-0.09691
1820,0,-0.04738,-0.1046,-0.12133,0.05723
1840,0,0.09801,0.13322,0.13285,0.20516
1860,0,0.01961,-0.01095,-0.02185,0.13474
1880,0,-0.02345,-0.05696,-0.06012,0.07292
1900,0,0.12753,0.17525,0.16791,0.22906
1920,0,-0.01393,-0.1004,-0.10722,0.08345
1940,0,0.10264,0.06184,0.05835,0.18775
1960,0,0.23344,0.30922,0.30243,0.34566
1980,0,0.0955,0.07807,0.0893,0.19773
2000,0,0.0626,0.01471,0.01084,0.14695
