tid,gamma,trueage,relmid,impsamp,freqonly
401,100,-117.947,-54.78,-108.322,-113.83
402,74.989,-78.457,-47.066,-80.985,-82.408
403,56.423,-32.033,-23.034,-29.74,-25.612
404,42.17,-51.805,-37.857,-52.94,-54.697
405,31.623,-37.778,-26.556,-36.662,-36.268
406,23.714,-25.84,-18.827,-28.102,-27.647
407,17.783,-20.478,-18.13,-23.5,-22.583
408,13.335,-13.976,-12.214,-14.956,-14.804
409,10,-9.65,-8.361,-10.819,-10.349
410,7.499,-7.826,-7.233,-8.451,-7.571
411,5.623,-3.795,-3.451,-3.786,-3.142
412,4.217,-4.115,-4.17,-4.905,-4.464
413,3.162,-3.281,-3.313,-3.696,-3.293
414,2.371,-2.518,-2.624,-2.767,-2.426
415,1.778,-1.94,-2.095,-2.219,-1.912
416,1.334,-1.333,-1.547,-1.606,-1.307
417,1,-1.152,-1.309,-1.354,-1.073
418,0.332,-0.545,-0.691,-0.718,-0.466
419,0.005,-0.03,-0.094,-0.103,0.075
420,0,-2.507,-2.72,-2.874,-2.847
421,100,-110.646,-81.56,-117.521,-116.764
422,74.989,-82.744,-54.749,-84.178,-88.788
423,56.423,-34.995,-23.808,-31.134,-26.099
424,42.17,-57.146,-39.783,-55.085,-58.309
425,31.623,-40.228,-25.692,-39.832,-40.875
426,23.714,-25.979,-18.801,-25.555,-26.098
427,17.783,-19.377,-13.567,-18.135,-18.6
428,13.335,-13.922,-11.72,-14.657,-14.171
429,10,-9.489,-8.425,-9.938,-9.155
430,7.499,-7.361,-6.869,-7.973,-7.4
431,5.623,-3.746,-3.488,-3.785,-3.179
432,4.217,-4.842,-4.698,-5.565,-5.602
433,3.162,-3.975,-4.057,-4.445,-4
434,2.371,-2.469,-2.612,-2.805,-2.578
435,1.778,-1.922,-2.019,-2.099,-1.826
436,1.334,-1.43,-1.595,-1.637,-1.33
437,1,-1.029,-1.256,-1.277,-0.978
438,0.332,-0.187,-0.298,-0.314,-0.097
439,0.005,0.171,0.231,0.229,0.26
440,0,-2.441,-2.753,-2.888,-2.775
441,100,-112.053,-64.132,-106.834,-116.107
442,74.989,-72.787,-49.816,-70.488,-71.547
443,56.423,-37.325,-23.554,-31.756,-27.47
444,42.17,-44.696,-30.728,-41.771,-40.596
445,31.623,-41.849,-27.824,-39.752,-39.886
446,23.714,-26.122,-20.858,-28.086,-27.533
447,17.783,-18.765,-16.51,-20.118,-18.854
448,13.335,-12.9,-10.57,-13.293,-13.33
449,10,-10.525,-9.415,-11.254,-10.816
450,7.499,-7.622,-6.931,-8.589,-8.104
451,5.623,-3.444,-3.346,-3.699,-3.134
452,4.217,-4.291,-4.213,-4.597,-3.962
453,3.162,-2.928,-3.04,-3.263,-2.855
454,2.371,-2.204,-2.377,-2.48,-2.102
455,1.778,-1.688,-1.925,-2.005,-1.703
456,1.334,-1.578,-1.779,-1.854,-1.572
457,1,-1.243,-1.439,-1.475,-1.204
458,0.332,-0.284,-0.431,-0.443,-0.214
459,0.005,0.028,-0.006,-0.002,0.132
460,0,-2.155,-2.457,-2.553,-2.46
461,100,-110.813,-68.758,-105.722,-110.675
462,74.989,-76.663,-51.478,-79.968,-80.033
463,56.423,-35.954,-26.613,-34.699,-29.031
464,42.17,-43.739,-32.156,-41.053,-40.042
465,31.623,-32.982,-26.034,-34.426,-33.022
466,23.714,-25.407,-19.246,-25.556,-25.886
467,17.783,-17.6,-14.891,-18.351,-18.785
468,13.335,-13.965,-11.107,-14.715,-15.021
469,10,-10.718,-9.52,-11.324,-10.591
470,7.499,-9.125,-7.284,-9.591,-9.405
471,5.623,-3.976,-3.55,-4.049,-3.387
472,4.217,-4.101,-3.785,-4.334,-3.908
473,3.162,-3.302,-3.299,-3.665,-3.225
474,2.371,-2.66,-2.768,-3.011,-2.577
475,1.778,-1.587,-1.844,-1.918,-1.604
476,1.334,-1.121,-1.3,-1.341,-1.083
477,1,-1.118,-1.352,-1.405,-1.149
478,0.332,-0.705,-0.847,-0.877,-0.641
479,0.005,0.019,-0.001,-0.006,0.123
480,0,-2.597,-2.915,-3.068,-2.971
481,100,-102.631,-66.5,-108.263,-117.087
482,74.989,-78.621,-49.84,-79.13,-81.303
483,56.423,-34.742,-22.755,-31.915,-28.284
484,42.17,-39.551,-26.011,-38.919,-39.579
485,31.623,-36.44,-24.735,-35.691,-35.108
486,23.714,-23.441,-17.844,-23.894,-22.915
487,17.783,-16.914,-13.674,-18.265,-17.264
488,13.335,-14.259,-11.483,-15.169,-14.07
489,10,-11.153,-9.429,-11.334,-10.754
490,7.499,-7.174,-6.566,-7.645,-7.212
491,5.623,-3.373,-3.426,-3.719,-3.013
492,4.217,-4.027,-3.953,-4.304,-3.841
493,3.162,-3.142,-3.114,-3.443,-3.047
494,2.371,-2.61,-2.675,-2.862,-2.652
495,1.778,-1.813,-1.906,-2.027,-1.827
496,1.334,-1.236,-1.473,-1.515,-1.179
497,1,-1.064,-1.285,-1.317,-1.036
498,0.332,-0.492,-0.693,-0.703,-0.384
499,0.005,-0.364,-0.511,-0.526,-0.289
500,0,-2.408,-2.727,-2.841,-2.779
501,100,-94.271,-63.528,-92.677,-90.805
502,74.989,-72.54,-50.976,-74.339,-76.133
503,56.423,-39.139,-22.519,-34.111,-29.706
504,42.17,-46.994,-34.672,-48.346,-49.41
505,31.623,-31.772,-22.459,-31.464,-31.859
506,23.714,-22.243,-16.707,-21.406,-21.766
507,17.783,-18.031,-14.436,-18.98,-18.471
508,13.335,-13.657,-11.854,-14.873,-14.277
509,10,-10.37,-8.5,-11.097,-11.115
510,7.499,-7.429,-6.846,-8.002,-7.476
511,5.623,-3.892,-3.662,-4.169,-3.614
512,4.217,-3.661,-3.376,-3.758,-3.533
513,3.162,-3.178,-3.326,-3.624,-3.19
514,2.371,-2.424,-2.675,-2.895,-2.59
515,1.778,-1.637,-1.823,-1.905,-1.599
516,1.334,-1.24,-1.476,-1.518,-1.249
517,1,-0.894,-1.071,-1.11,-0.865
518,0.332,-0.572,-0.788,-0.812,-0.527
519,0.005,-0.229,-0.369,-0.381,-0.136
520,0,-2.407,-2.664,-2.782,-2.728
521,100,-114.835,-76.878,-110.872,-113.496
522,74.989,-79.52,-51.18,-71.302,-73.628
523,56.423,-38.68,-28.611,-35.526,-30.952
524,42.17,-41.422,-28.323,-39.329,-39.058
525,31.623,-33.376,-25.043,-35.11,-34.473
526,23.714,-22.492,-17.573,-23.138,-22.496
527,17.783,-18.904,-13.279,-17.989,-17.588
528,13.335,-14.336,-11.497,-13.964,-13.319
529,10,-10.238,-9.526,-11.331,-10.351
530,7.499,-8.407,-7.701,-9.558,-9.001
531,5.623,-3.886,-3.585,-3.966,-3.205
532,4.217,-4.125,-3.756,-4.428,-4.187
533,3.162,-3.096,-3.015,-3.352,-3.071
534,2.371,-2.464,-2.629,-2.785,-2.453
535,1.778,-2.09,-2.136,-2.254,-1.94
536,1.334,-1.454,-1.615,-1.653,-1.444
537,1,-1.076,-1.348,-1.383,-1.058
