tid,gamma,freqonly
1,100,-98.67253
2,85.77,-85.60446
3,73.564,-76.6094
4,63.096,-65.34733
5,54.117,-56.43031
6,46.416,-45.40881
7,39.811,-37.6786
8,34.145,-37.21742
9,29.286,-29.60579
10,25.119,-27.25826
11,21.544,-22.30187
12,18.478,-19.32294
13,15.849,-15.87767
14,13.594,-12.75866
15,11.659,-10.98324
16,10,-10.56638
17,8.577,-8.34996
18,7.356,-6.77186
19,6.31,-6.54602
20,5.412,-5.01894
21,4.642,-4.50179
22,3.981,-4.018
23,3.415,-3.24121
24,2.929,-3.0599
25,2.512,-2.49856
26,2.154,-1.19447
27,1.848,-1.83169
28,1.585,-1.43414
29,1.359,-0.9659
30,1.166,16.28142
31,1,-1.10918
32,0.457,-0.83486
33,0.152,0.74462
34,0.023,0.35751
35,0,-0.04487
36,100,-102.7546
37,85.77,-89.03639
38,73.564,-73.14783
39,63.096,-63.59431
40,54.117,-55.1213
41,46.416,-47.84274
42,39.811,-40.83927
43,34.145,-33.5589
44,29.286,-30.74672
45,25.119,-25.53512
46,21.544,-23.03143
47,18.478,-17.27685
48,15.849,-16.33421
49,13.594,-14.60974
50,11.659,-12.1949
51,10,-10.61709
52,8.577,-8.19808
53,7.356,-7.21892
54,6.31,-6.59168
55,5.412,-5.13962
56,4.642,-4.05682
57,3.981,-4.49246
58,3.415,-3.11403
59,2.929,-2.49906
60,2.512,-2.29308
61,2.154,-1.70952
62,1.848,-1.93571
63,1.585,-0.80773
64,1.359,-0.69055
65,1.166,-1.20276
66,1,-0.76912
67,0.457,-0.01676
68,0.152,0.16288
69,0.023,0.21
70,0,0.53799
71,100,-97.26721
72,85.77,-87.42745
73,73.564,-76.81976
74,63.096,-65.19257
75,54.117,-54.83262
76,46.416,-47.24855
77,39.811,-42.91134
78,34.145,-35.00973
79,29.286,-30.01679
80,25.119,-25.71576
81,21.544,-21.6267
82,18.478,-18.11753
83,15.849,-16.15623
84,13.594,-13.42524
85,11.659,-11.44146
86,10,-9.65871
87,8.577,-9.21646
88,7.356,-7.66194
89,6.31,-6.03052
90,5.412,-5.53646
91,4.642,-4.98693
92,3.981,-3.74688
93,3.415,-3.36007
94,2.929,-2.65567
95,2.512,-2.26789
96,2.154,-2.10525
97,1.848,-1.51784
98,1.585,-1.46744
99,1.359,-1.24661
100,1.166,-0.88409
101,1,-0.64959
102,0.457,-0.02156
103,0.152,0.23035
104,0.023,0.20735
105,0,0.89265
106,100,-98.07869
107,85.77,-87.51752
108,73.564,-73.34145
109,63.096,-62.53905
110,54.117,-54.29997
111,46.416,-46.15917
112,39.811,-40.95726
113,34.145,-34.20251
114,29.286,-29.68598
115,25.119,-24.58348
116,21.544,-20.9671
117,18.478,-19.60908
118,15.849,-16.53656
119,13.594,-13.9584
120,11.659,-11.68141
121,10,-10.09694
122,8.577,-8.50998
123,7.356,-7.84875
124,6.31,-6.13517
125,5.412,-5.66079
126,4.642,-4.53253
127,3.981,-3.67719
128,3.415,-3.20862
129,2.929,-2.99442
130,2.512,-3.11381
131,2.154,-1.34294
132,1.848,-1.15026
133,1.585,-1.03112
134,1.359,-1.13046
135,1.166,-0.97385
136,1,-0.69969
137,0.457,-0.1221
138,0.152,0.04347
139,0.023,0.16002
140,0,0.87374
141,100,-102.11301
142,85.77,-91.00791
143,73.564,-74.93928
144,63.096,-62.77651
145,54.117,-55.82461
146,46.416,-45.95777
147,39.811,-40.4871
148,34.145,-34.64603
149,29.286,-29.66686
150,25.119,-26.09913
151,21.544,-21.80575
152,18.478,-19.10026
153,15.849,-16.47699
154,13.594,-14.02131
155,11.659,-12.01821
156,10,-9.62192
157,8.577,-8.85276
158,7.356,-7.48125
159,6.31,-7.2275
160,5.412,-5.39998
161,4.642,-4.52452
162,3.981,-3.86798
163,3.415,-3.06757
164,2.929,-2.45384
165,2.512,-2.13294
166,2.154,-1.91554
167,1.848,-1.79102
168,1.585,-1.48631
169,1.359,-0.85024
170,1.166,-1.071
171,1,-1.34879
172,0.457,-0.11415
173,0.152,0.46049
174,0.023,0.51953
175,0,0.34114
176,100,-104.19258
177,85.77,-86.59538
178,73.564,-74.39811
179,63.096,-63.98668
180,54.117,-54.94323
181,46.416,-50.67561
182,39.811,-39.2474
183,34.145,-35.04478
184,29.286,-29.36255
185,25.119,-25.57072
186,21.544,-20.98705
187,18.478,-18.2936
188,15.849,-15.30885
189,13.594,-14.23459
190,11.659,-11.40871
191,10,-9.84594
192,8.577,-8.60251
193,7.356,-8.29402
194,6.31,-6.06585
195,5.412,-4.72882
196,4.642,-4.42587
197,3.981,-4.25259
198,3.415,-3.38385
199,2.929,-2.79166
200,2.512,-2.5162
201,2.154,-2.07686
202,1.848,-2.22855
203,1.585,-1.87348
204,1.359,-1.62626
205,1.166,-0.33667
206,1,-0.55846
207,0.457,-0.02694
208,0.152,0.42034
209,0.023,0.09125
210,0,0.85799
211,100,-103.14103
212,85.77,-84.72504
213,73.564,-75.28144
214,63.096,-59.19906
215,54.117,-55.01447
216,46.416,-47.25045
217,39.811,-39.39403
218,34.145,-37.4789
219,29.286,-31.65032
220,25.119,-26.0985
221,21.544,-21.50779
222,18.478,-18.37351
223,15.849,-16.37228
224,13.594,-14.10261
225,11.659,-12.06528
226,10,-9.92773
227,8.577,-8.52266
228,7.356,-6.73126
229,6.31,-6.71884
230,5.412,-4.9177
231,4.642,-4.31916
232,3.981,-4.03125
233,3.415,-2.94564
234,2.929,-3.03602
235,2.512,-2.42676
236,2.154,-2.92925
237,1.848,-1.74815
238,1.585,-1.35642
239,1.359,-1.20038
240,1.166,-1.10122
241,1,-0.31093
242,0.457,-0.51204
243,0.152,0.07686
244,0.023,0.62073
245,0,-0.26893
246,100,-103.40233
247,85.77,-88.36878
248,73.564,-76.18364
249,63.096,-63.01617
250,54.117,-57.08759
251,46.416,-47.67799
252,39.811,-41.64078
253,34.145,-34.47624
254,29.286,-29.54432
255,25.119,-25.12803
256,21.544,-22.74376
257,18.478,-18.32864
258,15.849,-16.53051
259,13.594,-14.17441
260,11.659,-12.12024
261,10,-10.51027
262,8.577,-8.38909
263,7.356,-7.18027
264,6.31,-6.14731
265,5.412,-5.7838
266,4.642,-4.3277
267,3.981,-4.32565
268,3.415,-2.90176
269,2.929,-2.57582
270,2.512,-2.12248
271,2.154,-2.02071
272,1.848,-1.8109
273,1.585,-1.64116
274,1.359,-1.26391
275,1.166,-1.33964
276,1,-0.88643
277,0.457,0.323
278,0.152,0.43275
279,0.023,0.25387
280,0,0.50496
281,100,-105.26266
282,85.77,-87.70624
283,73.564,-71.87374
284,63.096,-63.6428
285,54.117,-58.20326
286,46.416,-46.57127
287,39.811,-43.08975
288,34.145,-36.14205
289,29.286,-31.03286
290,25.119,-25.00621
291,21.544,-22.50622
292,18.478,-19.16594
293,15.849,-17.55094
294,13.594,-13.50812
295,11.659,-11.62475
296,10,-10.51881
297,8.577,-8.91096
298,7.356,-7.71594
299,6.31,-6.20567
300,5.412,-4.86828
301,4.642,-4.52655
302,3.981,-3.76173
303,3.415,-3.70503
304,2.929,-2.9853
305,2.512,-1.89518
306,2.154,-1.263
307,1.848,-1.4455
308,1.585,-1.56333
309,1.359,-1.14173
310,1.166,-0.57909
311,1,-0.95316
312,0.457,0.40152
313,0.152,-0.14722
314,0.023,0.08967
315,0,0.05704
316,100,-98.55128
317,85.77,-86.23509
318,73.564,-75.55661
319,63.096,-67.64106
320,54.117,-56.43058
321,46.416,-48.05911
322,39.811,-40.25592
323,34.145,-34.44614
324,29.286,-28.74071
325,25.119,-26.79017
326,21.544,-22.14518
327,18.478,-17.54175
328,15.849,-16.04716
329,13.594,-13.2584
330,11.659,-11.51528
331,10,-9.72764
332,8.577,-8.07166
333,7.356,-7.31668
334,6.31,-6.83071
335,5.412,-5.26217
336,4.642,-4.58045
337,3.981,-3.66561
338,3.415,-3.24701
339,2.929,-2.57361
340,2.512,-2.03127
341,2.154,-1.61747
342,1.848,-1.77109
343,1.585,-1.80033
344,1.359,-1.18733
345,1.166,-0.71008
346,1,-1.14986
347,0.457,0.23706
348,0.152,0.39703
349,0.023,0.21327
350,0,0.22145
351,100,-103.39732
352,85.77,-86.41302
