tid,gamma,trueage,freqonly
1,100,-105.67845,-103.5375
2,85.77,-87.13992,-86.96906
3,73.564,-74.26966,-73.15256
4,63.096,-67.24588,-65.97947
5,54.117,-52.48161,-54.73483
6,46.416,-45.55877,-50.32116
7,39.811,-36.52269,-41.1657
8,34.145,-30.9737,-35.9402
9,29.286,-26.14948,-29.84259
10,25.119,-22.53008,-27.47759
11,21.544,-17.82304,-21.69441
12,18.478,-16.72604,-20.24968
13,15.849,-13.5566,-16.39246
14,13.594,-12.35769,-14.708
15,11.659,-10.29407,-12.21392
16,10,-9.49883,-10.90668
17,8.577,-8.27015,-9.35876
18,7.356,-7.32326,-8.15121
19,6.31,-6.4153,-6.58189
20,5.412,-5.27255,-5.34823
21,4.642,-4.93976,-4.72757
22,3.981,-3.89661,-3.7625
23,3.415,-3.68514,-3.44893
24,2.929,-2.93262,-2.45711
25,2.512,-3.70844,-3.43597
26,2.154,-2.49757,-2.13618
27,1.848,-2.03495,-1.66249
28,1.585,-1.65887,-1.26535
29,1.359,-1.16316,-0.86441
30,1.166,-1.29447,-0.97727
31,1,-0.44144,-0.39864
32,0.457,0.29133,0.05606
33,0.152,1.46388,0.38137
34,0.023,0.54566,0.14767
35,0,3.52283,0.72843
36,100,-111.28707,-105.67556
37,85.77,-93.45915,-85.78979
38,73.564,-74.08895,-74.33754
39,63.096,-62.07315,-61.03152
40,54.117,-54.13565,-56.0973
41,46.416,-41.69741,-43.76919
42,39.811,-35.42959,-40.57468
43,34.145,-31.02528,-35.25806
44,29.286,-25.14594,-29.35675
45,25.119,-21.72555,-25.5333
46,21.544,-18.74357,-22.80829
47,18.478,-16.4358,-20.13203
48,15.849,-13.25778,-16.18718
49,13.594,-12.2386,-13.95991
50,11.659,-10.902,-12.56275
51,10,-9.28437,-10.73766
52,8.577,-8.12407,-9.08866
53,7.356,-7.10248,-7.91295
54,6.31,-6.16773,-6.24407
55,5.412,-5.44278,-5.57287
56,4.642,-4.53215,-4.30277
57,3.981,-4.51544,-4.25848
58,3.415,-3.25354,-2.88673
59,2.929,-3.11261,-2.82424
60,2.512,-2.83108,-2.50199
61,2.154,-2.49916,-2.14886
62,1.848,-2.18788,-1.72987
63,1.585,-0.85183,-0.66964
64,1.359,-1.1758,-0.90011
65,1.166,-1.17533,-0.86078
66,1,0.20396,0.00084
67,0.457,0.95696,0.26025
68,0.152,1.59121,0.35177
69,0.023,3.37828,0.72335
70,0,3.82435,0.80509
71,100,-110.18768,-101.86281
72,85.77,-86.56805,-83.61013
73,73.564,-74.01688,-71.32245
74,63.096,-63.19866,-62.78441
75,54.117,-53.85112,-57.92927
