tid,gamma,trueage,relmid,impsamp,freqonly
1,-100,102.83398,13.84504,17.56544,363.60286
2,-74.989,75.38098,10.50328,13.80395,165.58209
3,-56.234,56.4625,9.78892,13.52032,57.59974
4,-42.17,42.46309,8.60769,11.42571,30.81119
5,-31.623,32.94885,7.23576,9.5026,52.3245
6,-23.714,24.88829,7.25796,9.43053,35.63339
7,-17.783,17.91208,6.46733,8.0923,12.45234
8,-13.335,12.92163,6.41467,7.77624,14.17214
9,-10,10.00743,5.63766,6.81982,6.47369
10,-7.499,7.68835,4.95101,5.85697,8.83156
11,-5.623,6.03799,4.41834,5.23082,5.90675
12,-4.217,3.86998,3.69804,4.28571,4.45704
13,-3.162,3.16392,3.84954,4.52159,3.32601
14,-2.371,2.11405,2.42602,2.84766,2.32178
15,-1.778,1.94224,2.89908,3.43691,1.48938
16,-1.334,1.33434,1.88563,2.02904,1.22928
17,-1,0.79186,1.38846,1.49986,1.02051
18,-0.332,0.27688,0.3719,0.38784,0.39683
19,-0.05,-0.04849,-0.11455,-0.11224,0.05569
20,0,-2.70258,-2.21785,-2.32403,-1.68233
21,-100,100.4023,13.1752,17.37917,130.87192
22,-74.989,73.67457,12.25288,15.2929,95.98199
23,-56.234,54.94913,9.78923,12.41879,71.02588
24,-42.17,43.23718,10.2039,12.33797,25.3778
25,-31.623,32.2355,7.94784,10.73627,40.02278
26,-23.714,24.04806,7.20827,9.41349,16.19205
27,-17.783,17.71242,6.7047,8.50233,17.61344
28,-13.335,13.16202,5.71837,7.67407,12.84363
29,-10,9.74583,4.78431,5.97051,4.76891
30,-7.499,7.62759,5.36589,6.28954,8.17262
31,-5.623,5.3271,4.30814,4.91976,5.38076
32,-4.217,3.96384,3.45857,4.18664,3.54777
33,-3.162,3.19643,3.54447,4.05327,3.42448
34,-2.371,2.50574,3.1697,3.6281,2.31531
35,-1.778,1.97078,3.01853,3.54851,2.68622
36,-1.334,1.22905,1.80697,2.05461,1.11908
37,-1,0.81371,1.33718,1.37773,1.02077
38,-0.332,0.12546,0.15194,0.16169,0.23013
39,-0.05,0.09897,0.11356,0.11281,0.20653
40,0,-2.47184,-2.10628,-2.18071,-1.51545
41,-100,99.69153,14.25266,18.34635,211.90243
42,-74.989,75.38097,11.12671,13.90555,33.92649
43,-56.234,53.44578,8.64345,11.27185,65.1293
44,-42.17,41.2134,7.94051,10.43172,48.47676
45,-31.623,30.94071,8.40722,11.08934,23.54582
46,-23.714,24.15142,7.84417,9.94947,34.71978
47,-17.783,17.72387,7.30118,9.09148,17.82787
48,-13.335,13.41943,5.82888,7.14195,19.19452
49,-10,10.04256,4.96749,6.30672,10.97874
50,-7.499,7.79399,4.86679,5.75337,5.63921
51,-5.623,5.02,4.22165,4.84739,4.76033
52,-4.217,4.02988,3.69193,4.60731,3.60821
53,-3.162,3.53433,3.48483,4.18461,3.05824
54,-2.371,2.39965,2.82,3.19702,2.2703
55,-1.778,1.31918,2.55287,3.13607,1.39858
56,-1.334,1.78659,2.51018,2.91766,1.66645
57,-1,0.79189,1.34328,1.41951,0.96214
58,-0.332,0.20884,0.22408,0.22843,0.32476
59,-0.05,0.26279,0.35785,0.35859,0.36979
