tid,gamma,trueage,freqonly
1,-100,81.92723,1992.50654
2,-74.989,63.43156,210.07812
3,-56.234,51.1725,1199.59273
4,-42.17,42.83573,118.09081
5,-31.623,33.44306,66.84912
6,-23.714,27.45262,34.802
7,-17.783,23.10522,13.72187
8,-13.335,19.40451,6.00833
9,-10,15.03985,5.25083
10,-7.499,12.46154,3.51271
11,-5.623,11.43763,2.29723
12,-4.217,0.20917,4.31959
13,-3.162,0.16746,2.87653
14,-2.371,0.13306,2.08136
15,-1.778,0.1482,2.49857
16,-1.334,0.08838,0.5003
17,-1,2.61803,1.26991
18,-0.332,2.61803,0.5943
19,-0.05,10.02243,0.45887
20,0,9.30989,0.65268
21,-100,81.37086,2074.51354
22,-74.989,63.61662,521.06652
23,-56.234,49.90446,42.22957
24,-42.17,41.86295,228.07277
25,-31.623,34.39175,78.04128
26,-23.714,28.39948,25.42416
27,-17.783,22.777,12.16482
28,-13.335,18.56819,9.39763
29,-10,15.63897,5.52814
30,-7.499,13.76485,3.38214
31,-5.623,10.24057,3.06838
32,-4.217,12.0051,1.4245
33,-3.162,9.59438,1.51143
34,-2.371,9.06319,1.28679
35,-1.778,8.59154,0.86191
36,-1.334,10.171,1.25454
37,-1,8.5556,0.39244
38,-0.332,10.90296,0.64503
39,-0.05,8.64123,0.86031
40,0,9.62733,0.33592
41,-100,80.35668,1729.61146
42,-74.989,63.44479,362.72445
43,-56.234,,
44,-42.17,41.86091,140.77588
45,-31.623,34.19857,62.7709
46,-23.714,28.00994,22.94204
47,-17.783,23.91384,26.38331
48,-13.335,19.27803,8.71575
49,-10,16.00227,3.65613
50,-7.499,13.58434,4.20512
51,-5.623,13.66678,1.68969
52,-4.217,11.90455,1.90607
53,-3.162,10.16688,1.63273
54,-2.371,10.41892,1.13041
55,-1.778,8.59294,0.82815
56,-1.334,9.87478,1.02173
57,-1,8.45784,0.5414
58,-0.332,9.43446,0.57602
59,-0.05,7.82563,0.80586
60,0,-0.11837,0.02854
61,-100,81.86654,1942.48927
62,-74.989,62.61962,163.20306
63,-56.234,50.38923,305.84111
64,-42.17,40.42364,74.7336
65,-31.623,34.27096,68.24627
66,-23.714,27.47954,104.37802
67,-17.783,22.2114,11.77559
68,-13.335,20.18604,5.33935
69,-10,15.12027,9.0493
70,-7.499,13.54946,3.32249
71,-5.623,14.05476,1.63148
72,-4.217,10.14182,1.94562
73,-3.162,13.09833,1.19817
74,-2.371,10.42391,1.0581
75,-1.778,7.854,0.80175
76,-1.334,9.75876,1.19347
77,-1,10.38849,1.11508
78,-0.332,9.47206,0.66216
79,-0.05,-0.00229,0.06832
80,0,8.21932,0.31872
81,-100,82.2004,1737.42179
82,-74.989,63.18407,94.91395
83,-56.234,50.20557,559.61215
84,-42.17,41.13812,114.77589
85,-31.623,33.50362,33.8002
86,-23.714,26.94476,26.73587
87,-17.783,25.11549,10.60312
88,-13.335,17.82959,6.2987
89,-10,15.29214,3.97671
90,-7.499,15.26222,3.6172
91,-5.623,11.02153,3.45401
92,-4.217,10.5429,1.45
93,-3.162,10.02196,1.17145
94,-2.371,10.99697,0.86325
95,-1.778,9.89784,0.38139
96,-1.334,10.21055,1.07301
97,-1,9.33864,0.66416
98,-0.332,8.13296,0.56536
99,-0.05,9.42764,0.53599
100,0,8.40557,0.67076
101,-100,83.02818,1738.90161
102,-74.989,65.60867,449.91268
103,-56.234,50.2259,66.53059
104,-42.17,40.34481,51.95277
105,-31.623,34.35737,79.06886
106,-23.714,28.94775,38.89284
107,-17.783,21.59018,12.22771
108,-13.335,18.0668,8.07345
109,-10,16.43661,3.55428
110,-7.499,13.13154,2.73018
111,-5.623,11.40665,2.60674
112,-4.217,10.37295,1.99868
113,-3.162,9.68929,1.08131
114,-2.371,10.78827,1.20756
115,-1.778,8.30195,0.8667
116,-1.334,8.85375,1.15842
117,-1,9.05067,0.81333
118,-0.332,8.2443,0.44416
119,-0.05,8.3688,0.839
120,0,9.07928,0.46479
121,-100,81.51634,1736.37421
122,-74.989,63.67054,95.47148
123,-56.234,49.99928,106.23501
124,-42.17,41.72958,144.78383
