tid,gamma,trueage,freqonly
1,-50,46.27951,47.64735
2,-23.208,21.95109,16.76651
3,-10.772,10.19123,8.65376
4,-5,3.79142,2.19348
5,-2.321,2.39262,2.52541
6,-1.077,0.75984,0.73732
7,-0.5,0.835,0.88983
8,-0.232,0.37747,0.54378
9,-0.108,0.17339,0.2526
10,-0.05,0.1648,0.26149
11,-50,48.72653,36.12236
12,-23.208,23.33229,32.49657
13,-10.772,10.09786,7.95093
14,-5,4.5325,7.6857
15,-2.321,2.49747,2.85922
16,-1.077,1.31732,1.7677
17,-0.5,0.56249,0.53589
18,-0.232,0.23236,0.35253
19,-0.108,0.17033,0.29949
20,-0.05,0.31567,0.41947
21,-50,52.85195,50.71908
22,-23.208,24.11453,33.56872
23,-10.772,10.28155,11.77882
24,-5,4.53713,4.45416
25,-2.321,2.24671,2.96937
26,-1.077,1.40129,1.11097
27,-0.5,0.61365,0.70321
28,-0.232,0.75946,0.74562
29,-0.108,-0.27275,-0.15768
30,-0.05,0.2321,0.32308
31,-50,50.52099,38.20583
32,-23.208,23.60058,29.87826
33,-10.772,10.11901,10.3663
34,-5,4.34453,8.23994
35,-2.321,2.31545,3.83575
36,-1.077,1.33598,1.50628
37,-0.5,0.79611,0.83015
38,-0.232,0.33433,0.45886
39,-0.108,0.08118,0.20226
40,-0.05,0.0972,0.16477
41,-50,47.84803,53.39336
42,-23.208,23.65502,26.80476
43,-10.772,10.7034,6.74734
44,-5,4.41278,4.16446
45,-2.321,2.448,1.91349
46,-1.077,1.31,1.45067
47,-0.5,0.67949,0.78693
48,-0.232,0.43467,0.49915
49,-0.108,-0.31561,-0.15964
50,-0.05,0.09105,0.1969
51,-50,51.45787,34.8255
52,-23.208,23.26017,31.31335
53,-10.772,11.35488,6.03546
54,-5,5.34156,4.22832
55,-2.321,2.69152,2.55891
56,-1.077,1.41712,1.33187
57,-0.5,-0.00365,0.10107
58,-0.232,0.20574,0.31468
59,-0.108,0.09086,0.1479
60,-0.05,-0.20612,-0.07446
61,-50,49.62476,52.63769
62,-23.208,23.49085,21.30569
63,-10.772,10.50144,11.9768
64,-5,5.09949,5.60759
65,-2.321,2.76969,2.52543
66,-1.077,0.57967,0.75596
67,-0.5,0.60887,0.86515
68,-0.232,0.23476,0.33852
69,-0.108,0.53424,0.55699
70,-0.05,-0.02425,0.07719
71,-50,51.98884,33.45829
72,-23.208,23.60297,20.51909
73,-10.772,10.81505,12.57408
74,-5,5.36123,3.61622
75,-2.321,2.30216,2.73182
76,-1.077,0.91635,1.0366
77,-0.5,0.56253,0.59505
78,-0.232,0.24127,0.36502
79,-0.108,0.25283,0.28169
80,-0.05,-0.19039,-0.04981
81,-50,52.50491,64.30025
82,-23.208,23.08502,31.7915
83,-10.772,11.31374,12.43909
84,-5,5.2549,7.29667
85,-2.321,2.18483,1.72766
86,-1.077,1.0078,1.49081
87,-0.5,0.44374,0.55495
88,-0.232,0.29612,0.43099
89,-0.108,-0.17476,-0.07491
90,-0.05,0.21808,0.31593
91,-50,51.13929,46.42233
92,-23.208,23.40787,25.50257
93,-10.772,10.79107,9.73321
94,-5,4.58909,4.45213
95,-2.321,2.103,2.17806
96,-1.077,1.12838,1.24253
97,-0.5,0.88264,0.86605
98,-0.232,0.71875,0.85378
99,-0.108,0.06764,0.15614
100,-0.05,-0.01153,0.10084
101,-50,49.82641,17.84843
102,-23.208,22.8888,31.62303
103,-10.772,10.72959,8.62067
104,-5,5.30315,3.4094
105,-2.321,2.02814,1.69298
106,-1.077,1.37662,1.66117
107,-0.5,0.47137,0.61616
108,-0.232,-0.12554,0.00299
109,-0.108,0.08127,0.13735
110,-0.05,-0.16404,-0.08816
111,-50,50.42723,92.56542
112,-23.208,22.88191,29.24034
113,-10.772,10.73381,8.47065
114,-5,5.61083,4.73974
115,-2.321,2.24278,2.75571
116,-1.077,0.90681,1.06639
117,-0.5,0.3001,0.40734
118,-0.232,0.26679,0.36566
119,-0.108,0.20838,0.31505
120,-0.05,0.20139,0.28003
121,-50,49.86656,33.78256
122,-23.208,22.44912,14.33792
123,-10.772,10.78882,8.3982
124,-5,5.38517,2.64717
125,-2.321,1.96745,2.71195
126,-1.077,0.907,1.09226
127,-0.5,0.20626,0.32965
128,-0.232,0.07218,0.20108
129,-0.108,-0.10781,-0.02242
130,-0.05,0.30183,0.37488
131,-50,48.56969,78.36371
132,-23.208,23.49572,26.73411
133,-10.772,10.42012,8.89764
134,-5,4.92651,4.70363
135,-2.321,1.94307,1.98273
136,-1.077,1.32208,1.56919
137,-0.5,0.12617,0.23617
138,-0.232,0.27273,0.39273
139,-0.108,0.07064,0.17189
140,-0.05,0.05598,0.16591
141,-50,49.65334,38.35759
142,-23.208,23.44879,33.17831
143,-10.772,11.35412,11.47268
144,-5,4.4259,1.99645
145,-2.321,2.78185,3.34947
146,-1.077,0.99613,1.15775
147,-0.5,0.38164,0.55046
148,-0.232,0.15436,0.29708
149,-0.108,0.21345,0.33711
150,-0.05,0.17526,0.27647
151,-50,51.06419,134.2252
152,-23.208,23.08267,20.67918
153,-10.772,11.08936,15.41129
154,-5,5.161,7.58528
155,-2.321,2.43964,2.56179
156,-1.077,1.14045,1.05549
157,-0.5,0.40129,0.55048
158,-0.232,0.42346,0.47798
159,-0.108,0.27851,0.33864
160,-0.05,0.09963,0.23901
161,-50,51.17693,30.0974
162,-23.208,23.16642,25.15779
163,-10.772,10.76233,8.77157
164,-5,4.76026,7.20675
165,-2.321,2.22054,1.78397
166,-1.077,0.88423,0.97215
167,-0.5,0.68081,0.74257
168,-0.232,0.14486,0.21901
169,-0.108,-0.15897,-0.06608
170,-0.05,0.28165,0.33461
171,-50,51.84632,64.71909
172,-23.208,22.96883,40.97218
173,-10.772,10.62772,7.38813
174,-5,4.69595,4.60988
175,-2.321,2.1664,1.95866
176,-1.077,1.34556,1.39956
177,-0.5,1.21487,1.67721
178,-0.232,0.21085,0.34586
179,-0.108,0.17823,0.24219
180,-0.05,-0.29642,-0.19187
181,-50,49.50948,112.25322
182,-23.208,23.47577,19.86249
183,-10.772,10.71779,13.63889
184,-5,5.58682,3.62958
185,-2.321,2.07054,1.92942
186,-1.077,1.14743,1.29953
187,-0.5,0.22027,0.28266
188,-0.232,0.08102,0.1783
189,-0.108,-0.13794,-0.03336
190,-0.05,-0.17801,-0.00983
191,-50,51.06334,61.07903
192,-23.208,22.93981,17.67444
193,-10.772,10.83452,9.80563
194,-5,5.00629,5.10297
195,-2.321,2.55142,2.02783
196,-1.077,1.00001,1.07279
197,-0.5,0.74298,0.76727
198,-0.232,0.11669,0.18318
199,-0.108,0.15545,0.24268
200,-0.05,0.07651,0.17703
201,-50,48.36652,19.85339
202,-23.208,22.30733,16.40304
203,-10.772,10.70103,9.11004
204,-5,4.78317,6.51553
205,-2.321,2.36928,2.80818
206,-1.077,1.56732,1.48267
207,-0.5,0.61409,0.8542
208,-0.232,-0.04794,0.07734
209,-0.108,0.15922,0.27144
210,-0.05,-0.38559,-0.2683
211,-50,50.13982,75.02681
212,-23.208,22.97968,24.17828
213,-10.772,10.20569,7.8548
214,-5,5.59785,5.08185
