tid,gamma,trueage,relmid,impsamp,freqonly
1,100,-91.73369,-59.72768,-78.17549,-83.20886
2,74.989,-75.31916,-68.14244,-73.26755,-76.19362
3,56.423,-55.04078,-34.95209,-51.90859,-55.01749
4,42.17,-41.7326,-35.2592,-40.84233,-41.20625
5,31.623,-33.03717,-28.35584,-32.45263,-33.52782
6,23.714,-20.84667,-16.66568,-20.75045,-20.93234
7,17.783,-20.27555,-17.07152,-20.07875,-20.72556
8,13.335,-14.26966,-12.32386,-14.92766,-14.48056
9,10,-9.57205,-8.52558,-9.70705,-9.81278
10,7.499,-7.08031,-6.92871,-7.76462,-7.52757
11,5.623,-5.42272,-5.12587,-5.69515,-5.52334
12,4.217,-4.28877,-3.89899,-4.63851,-4.39402
13,3.162,-2.9231,-3.09705,-3.24599,-2.8638
14,2.371,-2.05783,-2.14656,-2.21928,-1.96371
15,1.778,-1.65582,-1.84352,-1.88574,-1.53539
16,1.334,-1.38403,-1.56955,-1.58058,-1.35916
17,1,-1.32451,-1.51264,-1.53936,-1.21862
18,0.332,-0.41912,-0.59106,-0.60817,-0.34725
19,0.005,-0.07869,-0.16102,-0.11629,0.01773
20,0,-5.02605,-4.54215,-4.73949,-3.98754
21,100,-89.58181,-65.80555,-83.36031,-92.11141
22,74.989,-93.06657,-81.62069,-88.28904,-93.12249
23,56.423,-52.31784,-42.80823,-47.88872,-51.09037
24,42.17,-38.58403,-26.81086,-35.15805,-37.14925
25,31.623,-29.52182,-24.29957,-30.46343,-31.62098
26,23.714,-22.39663,-18.62205,-23.13516,-22.45491
27,17.783,-17.03154,-14.04577,-16.60352,-17.66837
28,13.335,-13.09591,-10.6315,-12.4466,-12.66946
29,10,-10.11362,-9.15036,-10.40127,-10.14355
30,7.499,-7.83474,-7.77034,-8.75648,-8.11327
31,5.623,-6.04543,-5.69909,-6.19574,-5.60894
32,4.217,-3.89558,-4.14456,-4.3985,-4.17124
33,3.162,-3.03204,-3.12074,-3.35679,-2.99613
34,2.371,-2.44707,-2.70772,-2.79712,-2.45278
35,1.778,-2.07924,-2.28059,-2.3817,-2.0892
36,1.334,-1.28903,-1.40978,-1.46693,-1.16423
37,1,-0.86774,-1.0752,-1.09965,-0.77946
38,0.332,-0.4362,-0.59504,-0.57671,-0.35883
39,0.005,,,,
40,0,-4.73724,-4.28902,-4.46122,-3.69284
41,100,-89.70978,-68.8425,-81.84126,-88.4861
42,74.989,-78.33824,-50.63026,-75.99281,-78.85925
43,56.423,-50.651,-41.84267,-47.67795,-48.71742
44,42.17,-44.18984,-31.81615,-39.93932,-43.46043
45,31.623,-33.75081,-26.87477,-32.60113,-33.35426
46,23.714,-25.72265,-22.0919,-26.0085,-25.53352
47,17.783,-16.10068,-12.58178,-15.09036,-15.0298
48,13.335,-12.79713,-10.53031,-12.15485,-12.04039
49,10,-11.03999,-9.98376,-11.47221,-11.39616
50,7.499,-8.07591,-6.74847,-8.35058,-8.09885
51,5.623,-5.24474,-4.86553,-5.50415,-5.22594
52,4.217,-4.49689,-4.0318,-4.58447,-4.24684
53,3.162,-2.97237,-2.98026,-3.12695,-2.88534
54,2.371,-2.32958,-2.37818,-2.49684,-2.28717
55,1.778,-1.72019,-1.92869,-1.8978,-1.68349
56,1.334,-1.01113,-1.19363,-1.21381,-0.95418
57,1,-0.81868,-0.97336,-0.96693,-0.76524
58,0.332,-0.4599,-0.68578,-0.60802,-0.4184
59,0.005,,,,
60,0,-7.53735,-6.17206,-6.76238,-5.79676
61,100,NaN,NaN,NaN,NaN
62,74.989,-76.39925,-60.77587,-69.71653,-75.2006
63,56.423,-52.54434,-43.45033,-49.18722,-53.18569
64,42.17,-37.43745,-27.81331,-34.73589,-37.04067
65,31.623,-28.11156,-24.85356,-27.31691,-28.6383
66,23.714,-25.24945,-19.43608,-23.59849,-23.76496
67,17.783,-22.59203,-17.67681,-22.06958,-23.14867
68,13.335,-12.69472,-11.14869,-12.66051,-11.82925
69,10,-9.29955,-8.01688,-9.34591,-9.27514
70,7.499,-8.74321,-8.44394,-9.48089,-9.08383
71,5.623,-5.69172,-5.55102,-6.33038,-5.99942
72,4.217,-4.08794,-4.16475,-4.53966,-4.2655
73,3.162,-3.33958,-3.45421,-3.66326,-3.33834
74,2.371,-2.54125,-2.60243,-2.75859,-2.51116
75,1.778,-1.74623,-1.86429,-1.94835,-1.67837
76,1.334,-1.15984,-1.38773,-1.42738,-1.20418
77,1,-1.0104,-1.1847,-1.16629,-0.97577
78,0.332,-0.16075,-0.26117,-0.24715,-0.08128
79,0.005,-0.161,-0.2854,-0.28694,-0.08507
80,0,-4.91748,-4.32054,-4.46523,-3.73358
81,100,-166.61274,-146.53614,-149.01339,-155.41281
82,74.989,-69.82212,-56.53338,-61.74377,-67.2221
83,56.423,-57.7082,-47.50364,-53.91871,-58.07904
84,42.17,-38.44215,-31.01517,-37.79257,-38.59155
85,31.623,-34.88994,-30.24432,-34.03316,-35.67169
86,23.714,-22.56994,-20.48576,-22.70618,-22.61056
87,17.783,-16.24253,-14.75072,-16.83997,-16.81383
88,13.335,-12.94642,-10.61152,-13.19586,-13.32806
89,10,-10.7059,-9.36946,-10.95803,-10.9083
90,7.499,-7.50676,-7.04164,-8.03648,-7.59326
91,5.623,-5.07252,-4.90217,-5.39428,-4.97389
92,4.217,-4.46666,-4.69701,-5.19763,-4.88416
93,3.162,-3.02564,-3.12486,-3.22462,-2.8566
94,2.371,-2.36771,-2.5481,-2.63442,-2.47838
95,1.778,-1.9314,-2.11846,-2.17655,-1.86687
96,1.334,-1.35647,-1.62176,-1.66211,-1.34737
97,1,-1.29919,-1.51264,-1.5668,-1.3264
98,0.332,-0.08698,-0.14103,-0.07475,0.01834
99,0.005,0.30089,0.37579,0.38197,0.3955
100,0,-5.89688,-5.0701,-5.41654,-4.72121
101,100,NaN,NaN,NaN,NaN
102,74.989,-61.46384,-54.22235,-59.43257,-61.69799
103,56.423,-67.58167,-55.21465,-65.16552,-67.55837
104,42.17,-42.9688,-30.71328,-39.3703,-42.13593
105,31.623,-32.73361,-25.44218,-30.94475,-32.50826
106,23.714,-24.21223,-19.05507,-22.8177,-23.81053
107,17.783,-17.51442,-14.61703,-18.21587,-18.8638
108,13.335,-14.5506,-11.94811,-14.54666,-15.36749
109,10,-8.63925,-7.87484,-8.76249,-8.34975
110,7.499,-7.59442,-6.5085,-7.88257,-7.61488
111,5.623,-5.92063,-5.40228,-6.32244,-5.94101
112,4.217,-4.4072,-4.61843,-4.99522,-4.82563
113,3.162,-3.11065,-3.34624,-3.4836,-3.07394
114,2.371,-2.84002,-3.04979,-3.20789,-2.85115
115,1.778,-2.03249,-2.22818,-2.35169,-2.08523
116,1.334,-1.3029,-1.42516,-1.40709,-1.12474
117,1,-0.89953,-1.02427,-1.04572,-0.78248
118,0.332,-0.23924,-0.351,-0.30911,-0.16762
119,0.005,,,,
120,0,-3.83808,-3.55338,-3.66282,-2.93214
121,100,-99.25001,-78.0679,-88.73553,-96.39853
122,74.989,-72.2783,-57.4237,-63.14609,-67.89021
123,56.423,-54.03923,-41.57798,-49.16218,-51.52929
124,42.17,-45.6913,-31.65594,-45.47828,-46.9904
125,31.623,-28.47437,-23.86079,-28.89837,-30.37374
126,23.714,-23.64977,-21.8544,-23.67733,-23.42107
127,17.783,-19.29261,-16.12898,-18.61706,-19.12223
128,13.335,-14.1968,-12.09058,-14.05398,-13.74971
129,10,-10.02247,-8.18553,-10.0565,-10.00385
130,7.499,-7.24787,-6.7788,-7.51168,-7.16334
131,5.623,-5.85797,-5.39862,-6.14012,-5.74211
132,4.217,-4.45074,-4.29181,-4.61661,-4.42627
133,3.162,-3.31277,-3.4259,-3.70468,-3.48538
134,2.371,-2.32996,-2.61939,-2.72888,-2.36655
135,1.778,-2.03848,-2.34311,-2.42658,-2.08926
136,1.334,-1.2935,-1.49361,-1.5194,-1.27883
137,1,-0.74587,-0.95371,-0.94523,-0.71402
138,0.332,-0.30931,-0.45394,-0.41991,-0.25007
139,0.005,0.05171,0.02007,0.1141,0.16062
140,0,-7.79404,-6.60382,-7.23817,-6.19077
141,100,-98.53001,-91.63,-95.4682,-101.30963
142,74.989,-70.12637,-57.89188,-63.84934,-70.44342
143,56.423,-55.32569,-45.12902,-50.91084,-53.17154
144,42.17,-39.27695,-34.91857,-38.91772,-39.61525
145,31.623,-31.13672,-21.66077,-28.93459,-31.17255
146,23.714,-24.3816,-19.99247,-23.28859,-23.0524
147,17.783,-16.70957,-14.67189,-16.68329,-17.29242
148,13.335,-13.6194,-11.464,-12.88044,-12.94069
149,10,-10.20196,-8.90466,-10.4004,-10.35988
150,7.499,-7.66509,-7.35259,-8.11628,-7.43973
151,5.623,-5.48105,-5.19041,-5.70609,-5.29622
152,4.217,-4.14478,-4.13258,-4.52174,-4.12477
153,3.162,-3.11484,-3.2891,-3.48023,-3.29518
154,2.371,-2.1385,-2.15534,-2.19004,-2.02776
155,1.778,-1.71109,-1.96451,-2.02397,-1.68195
156,1.334,-1.21138,-1.41286,-1.4211,-1.1579
157,1,-1.0519,-1.2752,-1.28118,-1.03139
158,0.332,-0.16604,-0.20028,-0.17622,-0.05818
159,0.005,0.13229,0.1238,0.29038,0.22252
160,0,-4.32048,-3.86283,-4.05236,-3.52191
161,100,-76.39611,-50.08746,-66.32749,-74.23936
162,74.989,-72.64724,-61.3675,-67.14321,-70.48002
163,56.423,-52.7359,-36.96526,-53.61336,-54.97922
164,42.17,-43.96748,-40.89184,-43.96101,-43.82475
165,31.623,-32.35815,-28.25873,-32.17132,-34.18067
166,23.714,-29.60432,-23.68069,-28.8796,-30.43047
167,17.783,-16.88386,-14.4149,-17.08234,-17.02169
168,13.335,-13.07145,-12.81019,-13.83986,-13.8674
169,10,-10.81756,-8.85157,-10.50944,-10.44339
170,7.499,-7.12748,-6.60371,-7.54689,-6.8569
171,5.623,-5.87305,-5.39557,-5.95477,-5.64209
172,4.217,-4.14073,-4.21235,-4.59259,-4.22069
173,3.162,-2.6645,-2.72122,-2.9052,-2.57632
174,2.371,-2.66252,-3.0352,-3.22516,-2.85126
175,1.778,-1.63955,-1.84249,-1.90414,-1.6173
176,1.334,-1.1693,-1.38846,-1.42715,-1.22035
177,1,,,,
178,0.332,-0.19969,-0.2134,-0.22551,-0.10903
179,0.005,,,,
180,0,-3.35418,-3.07797,-3.16456,-2.57125
181,100,-87.89585,-60.11903,-77.71014,-85.33209
182,74.989,-72.46518,-65.71853,-70.81052,-75.20429
183,56.423,-60.41411,-54.61378,-57.61434,-60.50167
184,42.17,-36.07381,-26.19414,-36.21008,-36.48277
185,31.623,-35.2429,-28.0686,-31.66498,-33.68123
186,23.714,-23.61266,-19.02311,-22.88824,-23.8234
187,17.783,-18.73711,-15.35134,-17.62159,-17.71564
188,13.335,-12.73402,-10.6811,-12.35793,-12.38218
189,10,-11.32039,-9.94987,-11.33029,-11.02455
190,7.499,-7.24108,-6.93467,-7.78179,-7.30615
191,5.623,-5.93793,-5.44665,-6.21236,-5.75201
192,4.217,-4.27329,-4.2005,-4.45019,-4.04356
193,3.162,-3.44057,-3.49933,-3.74589,-3.35102
194,2.371,-2.52458,-2.59837,-2.8273,-2.57581
195,1.778,-1.8081,-1.95735,-2.07424,-1.84282
196,1.334,-1.49343,-1.65625,-1.63871,-1.44883
197,1,-0.95515,-1.15939,-1.20197,-0.94025
198,0.332,,,,
199,0.005,-0.17071,-0.25561,-0.23452,-0.07568
200,0,-3.41374,-3.07151,-3.19131,-2.71358
201,100,NaN,NaN,NaN,NaN
202,74.989,-75.44672,-62.69653,-69.46177,-75.65661
203,56.423,-54.84086,-41.15151,-50.54354,-52.0939
204,42.17,-45.19929,-40.02486,-44.19488,-44.74634
205,31.623,-34.86901,-29.05818,-33.7487,-33.95354
206,23.714,-21.32237,-17.96019,-19.93391,-20.10726
207,17.783,-17.99949,-14.84695,-17.40457,-16.7204
