tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-150.11384,-21.82557,-73.60637,-208.06909,-70.88303
2,74.989,-80.13403,-52.55144,-70.1738,-153.9901,-67.11092
3,56.423,-56.0967,-11.68647,-43.28409,-66.44918,-44.08355
4,42.17,-46.42125,-25.99823,-44.5474,-57.50899,-44.50258
5,31.623,-30.98453,-20.601,-30.27275,-36.11226,-31.53132
6,23.714,-19.74115,-11.57637,-20.0561,-19.94294,-21.2933
7,17.783,-17.45953,-11.89671,-17.68274,-18.01613,-18.85104
8,13.335,-15.33531,-11.26429,-18.50717,-19.30015,-19.74922
9,10,-9.16935,-7.53186,-9.72932,-10.06995,-10.58539
10,7.499,-6.48938,-6.23312,-7.81885,-7.22334,-8.47987
11,5.623,-5.03699,-4.7326,-5.74124,-5.37326,-6.22237
12,4.217,-4.48278,-3.89488,-5.4563,-5.04092,-6.06119
13,3.162,-2.84403,-3.20348,-3.60794,-2.95816,-3.86788
14,2.371,-1.9194,-1.99459,-2.35122,-1.93725,-2.57547
15,1.778,-1.48527,-1.57303,-2.02614,-1.45534,-2.19875
16,1.334,-1.541,-1.69764,-1.99035,-1.65918,-2.19257
17,1,-1.18383,-1.44809,-1.74344,-1.24917,-1.91689
18,0.332,-0.51078,-0.757,-0.93174,-0.60794,-1.15884
19,0.005,0.06592,0.26079,0.28279,0.00353,3.60769
20,0,-0.78995,-4.9676,-5.77245,-4.27663,-6.09326
21,100,-47.87603,-17.77015,-39.14366,-50.72569,-39.6432
22,74.989,-82.86124,-46.59652,-60.4564,-60.20873,-58.22026
23,56.423,-58.99881,-28.27958,-40.9191,-64.81367,-41.34982
24,42.17,-36.70788,-11.78308,-30.17904,-32.21479,-30.87898
25,31.623,-25.54977,-14.76943,-28.62724,-33.86851,-29.72221
26,23.714,-23.64167,-14.77502,-27.89256,-28.07169,-29.03496
27,17.783,-17.19585,-10.95623,-16.73418,-21.74768,-18.21849
28,13.335,-11.89301,-8.02024,-10.79806,-10.37267,-11.733
29,10,-9.90184,-8.10183,-10.57777,-9.84035,-11.26327
30,7.499,-7.47575,-7.61665,-9.97856,-8.57004,-10.79973
31,5.623,-6.22586,-5.79373,-6.88736,-5.73514,-7.47435
32,4.217,-3.42219,-3.51983,-4.34127,-3.8308,-4.69532
33,3.162,-3.09712,-3.26343,-3.81473,-3.22191,-4.11399
34,2.371,-2.3207,-2.53028,-3.04491,-2.43058,-3.27819
35,1.778,-1.98605,-2.10721,-2.64219,-2.1496,-2.86561
36,1.334,-1.30098,-1.23777,-1.70825,-1.25223,-1.93781
37,1,-1.08425,-1.34143,-1.55111,-1.09753,-1.75217
38,0.332,-0.69315,-0.75848,-1.03916,-0.75259,-1.24323
39,0.005,-0.00028,0.05793,-0.20322,-0.07266,-0.36078
40,0,-0.90046,-5.08972,-5.76229,-4.3026,-6.07622
41,100,-80.20032,-26.87326,-51.98231,-73.39753,-50.92324
42,74.989,-83.47509,-12.34456,-75.83825,-137.90533,-72.50744
43,56.423,-55.16624,-27.5316,-42.2843,-44.3193,-42.12669
