tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-94.37713,-39.50468,-82.60774,-81.21572,-102.05487
2,74.989,-66.09062,-34.76607,-70.16695,-69.00986,-84.80322
3,56.423,-57.93469,-27.87188,-62.37706,-61.04051,-76.02791
4,42.17,-41.06688,-24.84151,-44.35544,-44.24407,-54.24035
5,31.623,-31.68096,-17.8435,-31.71643,-31.85568,-39.50793
6,23.714,-18.73726,-11.91187,-20.93252,-19.78642,-24.9314
7,17.783,-18.52039,-13.26078,-19.78621,-19.57705,-23.7817
8,13.335,-13.68473,-10.83338,-15.40319,-14.47614,-18.0458
9,10,-8.80596,-7.12413,-9.45038,-9.32488,-10.93792
10,7.499,-7.02248,-6.69849,-8.13361,-7.45962,-9.09914
11,5.623,-5.14157,-4.85801,-5.78453,-5.34537,-6.42794
12,4.217,-4.115,-3.8081,-4.82504,-4.3699,-5.4386
13,3.162,-2.60431,-2.79247,-3.20929,-2.64922,-3.48523
14,2.371,-1.97975,-2.05537,-2.34691,-1.99767,-2.56377
15,1.778,-1.42237,-1.44126,-1.84495,-1.40066,-2.00784
16,1.334,-1.32385,-1.37375,-1.69489,-1.38088,-1.87512
17,1,-1.22311,-1.41728,-1.6568,-1.27457,-1.81559
18,0.332,-0.52286,-0.6861,-0.84356,-0.60713,-1.0242
19,0.005,0.01779,0.15565,-0.07711,-0.04585,-0.13689
20,0,-1.04782,-4.66506,-5.50179,-4.27747,-5.94455
21,100,-92.27454,-53.14518,-94.32517,-82.07203,-116.02761
22,74.989,-79.22996,-43.53105,-90.40581,-96.8109,-113.47954
23,56.423,-54.48126,-28.72417,-51.90007,-50.12282,-62.14636
24,42.17,-36.24821,-19.60712,-36.45823,-35.77742,-44.18316
25,31.623,-30.51986,-18.43848,-33.0374,-33.96806,-40.68193
26,23.714,-23.39398,-15.82333,-26.19277,-23.65702,-31.16775
27,17.783,-17.5848,-11.89206,-17.65933,-18.61429,-21.23017
28,13.335,-12.90668,-9.57998,-12.83833,-12.2352,-14.81499
29,10,-9.52639,-8.38367,-10.72046,-9.86096,-12.10397
30,7.499,-7.57891,-7.30289,-9.22632,-8.05898,-10.59232
31,5.623,-5.84034,-5.36319,-6.40185,-5.45504,-7.15516
32,4.217,-3.78498,-3.85609,-4.54113,-4.09468,-4.96392
33,3.162,-2.93168,-3.03007,-3.52093,-2.99591,-3.84715
34,2.371,-2.35105,-2.50317,-2.97047,-2.45104,-3.20233
35,1.778,-2.15266,-2.23617,-2.69712,-2.29372,-2.93167
36,1.334,-1.32696,-1.23132,-1.61792,-1.27016,-1.81735
