tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
1,100,-100.24880,0,0,-130.14797,0
2,74.989,-80.58383,0,0,-65.46698,0
3,56.423,-53.54394,0,0,-44.47311,0
4,42.17,-43.7487,0,0,-51.60261,0
5,31.623,-32.01629,0,0,-39.1993,0
6,23.714,-22.92838,0,0,-28.02869,0
7,17.783,-18.35768,0,0,-15.91784,0
8,13.335,-12.25596,0,0,-13.09391,0
9,10,-9.72275,0,0,-10.4039,0
10,7.499,-7.35612,0,0,-7.32122,0
11,5.623,-5.62344,0,0,-5.57144,0
12,4.217,-177.98374,0,0,-3.81668,0
13,3.162,-3.30318,0,0,-3.69701,0
14,2.371,-2.2586,0,0,-2.26349,0
15,1.778,-1.87404,0,0,-1.87122,0
16,1.334,-1.30566,0,0,-1.35172,0
17,1,-0.96772,0,0,-0.93821,0
18,0.332,-0.37676,0,0,-0.40947,0
19,0.005,0.11237,0,0,0.03926,0
20,0,0.01826,0,0,-0.0431,0
21,100,-91.4686,0,0,-139.43374,0
22,74.989,-66.73079,0,0,-67.62625,0
23,56.423,-50.93068,0,0,-48.12796,0
24,42.17,-44.18354,0,0,-53.30058,0
25,31.623,-29.71608,0,0,-32.11619,0
26,23.714,-27.05676,0,0,-25.01292,0
27,17.783,-15.99945,0,0,-16.4933,0
28,13.335,-13.44621,0,0,-14.63155,0
29,10,-9.10423,0,0,-10.20943,0
30,7.499,-7.70519,0,0,-7.3286,0
31,5.623,-5.81607,0,0,-5.70451,0
32,4.217,-3.8312,0,0,-3.76614,0
33,3.162,-3.25067,0,0,-3.4077,0
34,2.371,-2.37286,0,0,-2.35872,0
35,1.778,-1.69415,0,0,-1.71887,0
36,1.334,-1.3789,0,0,-1.41435,0
37,1,-0.96121,0,0,-1.08487,0
38,0.332,-0.38605,0,0,-0.45123,0
39,0.005,0.03547,0,0,-0.04367,0
40,0,-0.04016,0,0,-0.09354,0
41,100,-81.87668,0,0,-81.66891,0
42,74.989,-73.4869,0,0,-73.81859,0
43,56.423,-58.80243,0,0,-56.50459,0
44,42.17,-42.78833,0,0,-51.054,0
45,31.623,-30.04587,0,0,-33.188,0
46,23.714,-22.35535,0,0,-26.20211,0
47,17.783,-16.921,0,0,-15.83182,0
48,13.335,-13.93283,0,0,-14.88479,0
49,10,-9.78526,0,0,-10.14692,0
50,7.499,-7.48067,0,0,-7.53465,0
51,5.623,-5.87401,0,0,-6.30295,0
52,4.217,-4.19688,0,0,-4.4517,0
53,3.162,-3.13507,0,0,-3.12864,0
54,2.371,-2.4209,0,0,-2.44,0
55,1.778,-1.8285,0,0,-1.81783,0
56,1.334,-1.29915,0,0,-1.31571,0
57,1,-1.17854,0,0,-1.23514,0
58,0.332,-0.2427,0,0,-0.31491,0
59,0.005,-0.09279,0,0,-0.16373,0
60,0,0.06997,0,0,0.01373,0
61,100,-89.02575,0,0,-248.65856,0
62,74.989,-75.6555,0,0,-128.51341,0
63,56.423,-54.65246,0,0,-44.68373,0
64,42.17,-39.74074,0,0,-53.14484,0
65,31.623,-30.76231,0,0,-28.48249,0
66,23.714,-21.42097,0,0,-20.94705,0
67,17.783,-17.81036,0,0,-21.39892,0
68,13.335,-12.53996,0,0,-12.84441,0
69,10,-9.62771,0,0,-10.87757,0
70,7.499,-7.15294,0,0,-7.23023,0
71,5.623,-5.70421,0,0,-5.72092,0
72,4.217,-4.18254,0,0,-4.16417,0
73,3.162,-3.21946,0,0,-3.33044,0
74,2.371,-2.15304,0,0,-2.17983,0
75,1.778,-1.74116,0,0,-1.64767,0
76,1.334,-1.35424,0,0,-1.34768,0
77,1,-1.02988,0,0,-1.07753,0
78,0.332,-0.29022,0,0,-0.35605,0
79,0.005,-0.12509,0,0,-0.18705,0
80,0,-0.09193,0,0,-0.13061,0
81,100,-95.05712,0,0,-89.06109,0
82,74.989,-66.86463,0,0,-82.74843,0
83,56.423,-56.1335,0,0,-58.0557,0
84,42.17,-41.70478,0,0,-41.10546,0
85,31.623,-33.01489,0,0,-32.31569,0
86,23.714,-23.16031,0,0,-20.63378,0
87,17.783,-17.86535,0,0,-18.00452,0
88,13.335,-13.26905,0,0,-14.04785,0
89,10,-9.60744,0,0,-10.5911,0
90,7.499,-7.19637,0,0,-7.41172,0
91,5.623,-5.4956,0,0,-5.81616,0
92,4.217,-4.06188,0,0,-4.15118,0
93,3.162,-3.14897,0,0,-3.23243,0
94,2.371,-2.39017,0,0,-2.43782,0
95,1.778,-1.70885,0,0,-1.81837,0
96,1.334,-1.27896,0,0,-1.33463,0
