tid,gamma,trueage,relmid,impsamp,freqonly
411,5.623,-5.90264,-5.33291,-6.18448,-5.69246
431,5.623,-5.78822,-5.46212,-6.23197,-5.75914
451,5.623,-5.27676,-5.16804,-6.02356,-5.6544
471,5.623,-6.15722,-5.43081,-6.61521,-6.15577
491,5.623,-5.1886,-5.30373,-6.05646,-5.4504
511,5.623,-5.96243,-5.56807,-6.83734,-6.59244
531,5.623,-6.03041,-5.55663,-6.45754,-5.81182
551,5.623,-5.68089,-5.20055,-6.06714,-5.77941
571,5.623,-5.4026,-5.52301,-6.17288,-5.55416
591,5.623,-5.59735,-5.06256,-5.74381,-5.43273
611,5.623,-5.8175,-5.39327,-6.19635,-5.95164
631,5.623,-5.66532,-5.58166,-6.30785,-5.82097
651,5.623,-5.90733,-5.29235,-6.3298,-5.7839
671,5.623,-5.69746,-5.253,-6.27672,-5.80305
691,5.623,-5.9617,-5.68718,-6.40789,-5.81132
711,5.623,-6.15431,-5.61566,-6.56349,-6.18781
731,5.623,-6.26155,-6.18959,-6.93853,-6.18281
751,5.623,-5.40546,-5.2982,-6.12761,-5.81072
771,5.623,-6.09013,-5.65185,-6.84746,-6.68641
791,5.623,-6.03014,-5.89018,-6.94621,-6.46804
811,5.623,-6.18446,-5.98918,-6.89081,-6.37106
831,5.623,-6.21025,-5.2267,-6.628,-6.178
851,5.623,-6.23899,-5.5817,-6.86011,-6.46913
871,5.623,-5.93426,-5.48586,-6.33525,-5.9399
891,5.623,-5.97179,-5.76656,-6.67477,-6.36769
911,5.623,-5.70457,-5.03207,-5.90703,-5.79536
931,5.623,-5.81759,-5.44659,-6.40779,-5.99731
951,5.623,-6.05318,-5.24021,-6.13099,-5.88022
971,5.623,-5.75298,-5.90326,-6.64241,-5.99222
991,5.623,-6.41122,-5.91041,-6.66383,-5.96752
1011,5.623,-6.39952,-6.17406,-6.9879,-6.32303
1031,5.623,-6.68203,-6.02698,-6.98465,-6.63418
1051,5.623,-5.68274,-5.31035,-6.05958,-5.88779
1071,5.623,-6.21042,-6.05379,-6.98308,-6.18578
1091,5.623,-5.49724,-5.07783,-6.04489,-5.77796
1111,5.623,-6.07709,-5.85893,-7.09843,-6.55892
1131,5.623,-5.13918,-4.93944,-5.64792,-5.08311
1151,5.623,-5.53396,-5.27884,-6.04878,-5.59449
1171,5.623,-5.69592,-5.1281,-6.08102,-5.76557
1191,5.623,-5.52917,-5.29601,-6.23261,-5.71168
1211,5.623,-5.72514,-5.43689,-6.28811,-5.59499
1231,5.623,-5.89267,-5.49113,-6.30965,-5.60851
1251,5.623,-5.60737,-5.26977,-6.11067,-5.75436
1271,5.623,-5.84701,-5.37575,-6.37379,-5.91215
1291,5.623,-5.55646,-5.12851,-6.01519,-5.61451
1311,5.623,-5.58193,-5.15424,-5.92697,-5.55001
1331,5.623,-5.54967,-5.26739,-6.09289,-5.51603
1351,5.623,-5.4849,-5.31851,-5.93139,-5.50108
1371,5.623,-5.3739,-5.03959,-5.78274,-5.25651
1391,5.623,-5.56555,-5.38772,-6.29646,-5.85993
1411,5.623,-5.39484,-5.05519,-5.75408,-5.32152
1431,5.623,-5.18761,-4.96592,-5.75429,-5.43781
1451,5.623,-5.85455,-5.44747,-6.33251,-5.71001
1471,5.623,-5.97884,-5.18781,-6.44846,-5.84469
1491,5.623,-5.32083,-5.09548,-5.87194,-5.35894
1511,5.623,-5.60422,-5.25288,-6.05622,-5.47213
1531,5.623,-5.75202,-5.34267,-6.15838,-5.56512
1551,5.623,-5.87581,-5.48065,-6.40851,-5.83164
1571,5.623,-5.86582,-5.65421,-6.43725,-5.68683
1591,5.623,-6.45531,-6.10605,-7.17083,-6.50416
1611,5.623,-5.46263,-5.46121,-6.08623,-5.66264
1631,5.623,-5.21711,-4.89842,-5.76041,-5.25747
1651,5.623,-5.85877,-5.53145,-6.65617,-6.27143
1671,5.623,-6.00823,-5.65165,-6.69138,-6.21694
1691,5.623,-6.13528,-5.77449,-6.76953,-5.97848
1711,5.623,-5.34239,-5.27358,-6.01279,-5.49848
1731,5.623,-5.15472,-5.15662,-5.81187,-5.18078
1751,5.623,-5.90512,-5.56384,-6.77861,-6.4899
1771,5.623,-5.88337,-5.78294,-6.39474,-5.68155
1791,5.623,-5.72883,-5.22796,-5.96365,-5.57293
1811,5.623,-5.97344,-5.50152,-6.91761,-6.59372
1831,5.623,-5.59466,-5.39146,-6.23966,-5.74543
1851,5.623,-5.47363,-5.25296,-5.92967,-5.31586
1871,5.623,-5.50692,-5.07047,-5.88094,-5.56468
1891,5.623,-5.62939,-5.33843,-6.08853,-5.55887
1911,5.623,-5.6547,-5.26624,-5.97051,-5.53194
1931,5.623,-5.82848,-5.45898,-6.25992,-5.7308
1951,5.623,-6.10381,-5.22834,-6.51885,-6.27474
1971,5.623,-5.10899,-4.70842,-5.55423,-5.0393
1991,5.623,-5.54045,-5.40982,-6.3181,-5.8141
