tid,gamma,trueage,freqonly
1,100,-93.48006,-108.03443
2,85.77,-88.21617,-87.08653
3,73.564,-74.37065,-76.3875
4,63.096,-63.93757,-49.72539
5,54.117,-52.84426,-56.85196
6,46.416,-43.32982,-49.17675
7,39.811,-39.47016,-41.09669
8,34.145,-32.833,-36.79288
9,29.286,-29.82867,-28.48893
10,25.119,-25.88662,-22.99847
11,21.544,-22.26644,-22.16097
12,18.478,-18.80062,-18.00061
13,15.849,-15.42308,-15.13142
14,13.594,-13.36983,-13.57932
15,11.659,-11.532,-12.19611
16,10,-9.9479,-9.12243
17,8.577,-8.66937,-8.51019
18,7.356,-7.16291,-7.1369
19,6.31,-6.20239,-6.76876
20,5.412,-5.54694,-5.38603
21,4.642,-4.4017,-4.26647
22,3.981,-4.23189,-4.14806
23,3.415,-3.58483,-3.56071
24,2.929,-3.15908,-2.85452
25,2.512,-2.46773,-2.12452
26,2.154,-2.27932,-2.01647
27,1.848,-2.04515,-1.54401
28,1.585,-1.46931,-1.10097
29,1.359,-1.51238,-1.28536
30,1.166,-1.15627,-1.01576
31,1,-0.84313,-1.1424
32,0.457,-0.23705,-0.48405
33,0.152,-0.10638,-0.44124
34,0.023,-0.12013,0.02968
35,0,0.02761,0.03039
36,100,-100.66156,-100.76859
37,85.77,-82.12462,-94.83315
38,73.564,-74.90815,-67.85309
39,63.096,-62.60511,-66.29603
40,54.117,-51.18523,-53.64664
41,46.416,-46.10337,-45.84799
42,39.811,-40.12531,-40.76878
43,34.145,-34.21493,-35.73781
44,29.286,-30.08266,-29.89941
45,25.119,-24.68153,-25.83572
46,21.544,-21.26353,-20.95707
47,18.478,-17.27969,-17.13833
48,15.849,-16.04214,-16.38852
49,13.594,-13.44783,-13.81351
50,11.659,-12.51194,-11.8413
51,10,-9.35891,-9.81752
52,8.577,-8.37689,-8.97733
53,7.356,-8.32272,-7.74115
54,6.31,-6.25477,-7.15849
55,5.412,-5.23043,-5.44873
56,4.642,-4.60732,-4.28017
57,3.981,-3.95955,-4.02203
58,3.415,-3.3915,-3.46714
59,2.929,-3.29383,-3.2479
60,2.512,-2.59415,-2.15163
61,2.154,-2.26533,-2.49392
62,1.848,-1.80266,-1.75231
63,1.585,-1.53074,-1.6312
64,1.359,-1.22817,-1.11117
65,1.166,-1.15443,-1.20303
66,1,-0.99244,-1.14429
67,0.457,-0.43965,-0.39102
68,0.152,-0.07273,-0.29256
69,0.023,0.00419,0.03212
70,0,0.07617,0.11116
71,100,-107.46862,-103.59676
72,85.77,-85.56068,-81.14952
73,73.564,-74.49004,-79.57091
74,63.096,-63.47442,-58.72938
75,54.117,-55.74704,-50.3848
76,46.416,-47.15312,-52.40944
77,39.811,-38.78829,-38.74218
78,34.145,-33.41047,-32.71949
79,29.286,-27.13575,-28.40266
80,25.119,-24.56336,-22.59496
81,21.544,-21.82722,-21.88248
82,18.478,-19.02152,-19.37232
83,15.849,-13.83115,-14.91615
84,13.594,-12.71162,-12.4681
85,11.659,-12.17299,-11.72869
86,10,-9.94791,-10.31957
87,8.577,-8.89355,-9.39724
88,7.356,-7.44887,-6.94451
89,6.31,-7.15104,-5.82752
90,5.412,-5.39487,-5.48767
91,4.642,-4.77928,-4.45466
92,3.981,-4.30874,-3.63614
93,3.415,-3.32201,-3.65023
94,2.929,-2.8597,-2.41513
95,2.512,-2.52144,-2.41146
96,2.154,-1.96365,-2.10236
97,1.848,-1.84575,-1.89006
98,1.585,-1.40425,-1.47497
99,1.359,-1.16577,-1.14761
100,1.166,-1.14463,-0.91291
101,1,-1.13929,-1.11941
102,0.457,-0.56688,-0.18768
103,0.152,-0.11586,-0.18415
104,0.023,-0.16298,0.03795
105,0,-0.21638,-0.31626
106,100,-99.45335,-101.52627
107,85.77,-91.95436,-87.08981
108,73.564,-75.31205,-77.43236
109,63.096,-62.41932,-62.24158
110,54.117,-57.92886,-54.42864
111,46.416,-46.69586,-48.35227
112,39.811,-40.666,-42.70816
113,34.145,-32.24548,-35.77656
114,29.286,-28.95776,-29.84203
115,25.119,-23.70548,-27.90325
116,21.544,-21.12416,-21.38891
117,18.478,-18.60502,-19.28643
118,15.849,-15.44871,-16.62164
119,13.594,-14.20316,-14.16513
120,11.659,-12.39047,-12.99203
121,10,-9.2694,-10.08781
122,8.577,-8.69395,-8.7743
123,7.356,-7.1788,-7.41243
124,6.31,-5.93445,-6.29239
125,5.412,-5.19004,-5.89338
126,4.642,-4.80742,-4.47522
127,3.981,-3.72734,-3.7127
128,3.415,-3.45435,-3.5428
129,2.929,-2.93278,-3.13525
130,2.512,-2.41352,-2.61391
131,2.154,-1.70751,-2.38152
132,1.848,-1.7173,-1.60822
133,1.585,-1.34058,-1.26103
134,1.359,-1.23511,-1.42302
135,1.166,-1.19012,-1.28698
136,1,-0.99357,-1.30738
137,0.457,-0.66142,-0.51468
138,0.152,-0.08107,-0.09758
139,0.023,0.11115,-0.04417
140,0,-0.15019,0.0183
141,100,-102.90695,-99.75115
142,85.77,-80.1331,-81.77037
143,73.564,-73.91204,-73.62666
144,63.096,-64.60949,-66.41053
145,54.117,-51.74554,-51.52852
146,46.416,-45.0975,-44.76266
147,39.811,-40.69208,-44.48694
148,34.145,-35.80562,-31.86881
149,29.286,-31.82845,-30.85963
150,25.119,-26.93749,-22.18832
151,21.544,-19.06183,-22.53745
152,18.478,-18.18767,-19.6788
153,15.849,-15.51471,-15.17887
154,13.594,-13.0196,-12.08377
155,11.659,-12.42757,-12.06107
156,10,-9.43101,-10.58239
157,8.577,-8.99392,-8.14611
158,7.356,-7.80757,-8.13112
159,6.31,-6.19307,-6.31562
160,5.412,-5.09526,-4.89731
161,4.642,-4.40733,-4.22481
162,3.981,-4.09177,-4.06489
163,3.415,-3.17531,-3.16446
164,2.929,-2.86328,-3.03812
165,2.512,-2.49115,-2.61304
166,2.154,-2.34379,-2.31179
167,1.848,-1.70811,-1.64866
168,1.585,-1.56571,-1.77478
169,1.359,-1.36959,-1.34613
170,1.166,-1.10348,-1.26116
171,1,-0.98347,-0.98833
172,0.457,-0.62016,-0.53557
173,0.152,0.05854,-0.08488
174,0.023,0.0582,-0.08556
175,0,-0.18249,0.02228
176,100,-100.64624,-88.8225
177,85.77,-87.69036,-82.80536
178,73.564,-79.74252,-75.97983
179,63.096,-66.58943,-57.99302
180,54.117,-53.24457,-57.82959
181,46.416,-48.2011,-42.89564
182,39.811,-42.80542,-38.37613
183,34.145,-35.09736,-31.15195
184,29.286,-29.47167,-30.63233
185,25.119,-25.49309,-25.76622
186,21.544,-19.32688,-21.25815
187,18.478,-18.53801,-19.54694
188,15.849,-17.28057,-15.70823
189,13.594,-14.50519,-13.93138
190,11.659,-12.09221,-11.24263
191,10,-9.75724,-9.7268
192,8.577,-8.08804,-8.49619
193,7.356,-7.88204,-7.05888
194,6.31,-6.27139,-6.04518
195,5.412,-5.68397,-6.37899
196,4.642,-4.53625,-4.8772
197,3.981,-3.44127,-3.51182
198,3.415,-3.73522,-3.44879
199,2.929,-2.60911,-3.00086
200,2.512,-2.60331,-2.59782
201,2.154,-2.15755,-2.6945
202,1.848,-1.79391,-1.98859
203,1.585,-1.63419,-1.85404
204,1.359,-1.50016,-1.43152
205,1.166,-1.39947,-1.32998
206,1,-1.00922,-1.10946
207,0.457,-0.28112,-0.47251
208,0.152,-0.18843,-0.29711
209,0.023,0.19517,0.14436
210,0,-0.33241,0.20592
211,100,-93.04632,-98.54498
212,85.77,-80.26074,-87.47203
213,73.564,-77.45209,-69.0935
214,63.096,-63.45851,-58.7153
215,54.117,-54.25676,-52.39678
216,46.416,-45.52683,-50.27408
217,39.811,-39.32828,-37.88014
218,34.145,-34.33883,-34.34745
219,29.286,-28.14825,-32.97107
220,25.119,-23.49602,-24.38525
221,21.544,-23.47212,-23.99382
222,18.478,-19.25311,-17.64106
223,15.849,-16.53919,-16.71966
224,13.594,-13.60302,-14.83923
