gamma,freq,age
-100,3,124
-100,2,65
-100,1,11
-100,2,198
-100,1,435
-100,1,6
-100,1,20
-100,1,139
-100,1,108
-100,3,1264
-100,1,46
-100,1,91
-100,2,89
-100,1,134
-100,1,17
-100,1,1
-100,1,14
-100,1,225
-100,3,91
-100,1,18
-100,2,147
-100,1,53
-100,2,81
-100,3,289
-100,1,28
-100,1,9
-100,8,90
-100,1,78
-100,1,30
-100,1,170
-100,1,260
-100,1,14
-100,2,10
-100,1,14
-100,3,115
-100,3,61
-100,1,27
-100,1,65
-100,1,30
-100,1,3
-100,7,142
-100,1,34
-100,1,81
-100,1,45
-100,2,286
-100,1,11
-100,1,35
-100,1,54
-100,2,464
-100,1,123
-100,1,295
-100,1,293
-100,2,1129
-100,2,375
-100,2,213
-100,3,196
-100,1,25
-100,1,206
-100,1,89
-100,6,123
-100,3,58
-100,1,255
-100,1,177
-100,3,57
-100,1,19
-100,1,205
-100,4,100
-100,3,123
-100,2,69
-100,1,57
-100,2,138
-100,8,337
-100,1,394
-100,1,463
-100,1,6
-100,1,58
-100,1,80
-100,1,111
-100,1,14
-100,1,44
-100,2,50
-100,2,28
-100,4,118
-100,1,9
-100,1,118
-100,1,21
-100,1,495
-100,1,108
-100,1,169
-100,1,4
-100,1,95
-100,2,14
-100,1,27
-100,1,91
-100,3,215
-100,5,146
-100,1,38
-100,1,145
-100,1,19
-100,1,50
-100,1,71
-100,3,815
-100,1,16
-100,1,143
-100,1,14
-100,1,78
-100,2,371
-100,1,33
-100,1,70
-100,2,363
-100,1,29
-100,1,283
-100,1,579
-100,1,686
-100,1,5
-100,8,178
-100,3,250
-100,3,47
-100,2,311
-100,2,33
-100,1,33
-100,1,46
-100,2,237
-100,4,446
-100,6,169
-100,1,98
-100,1,153
-100,1,17
-100,1,296
-100,1,1
-100,1,67
-100,1,18
-100,3,47
-100,2,58
-100,1,22
-100,1,43
-100,1,51
-100,1,179
-100,2,71
-100,2,267
-100,1,9
-100,1,278
-100,7,211
-100,1,462
-100,1,57
-100,2,17
-100,1,86
-100,1,410
-100,2,72
-100,1,3
-100,1,70
-100,1,750
-100,2,293
-100,1,18
-100,1,20
-100,2,603
-100,2,36
-100,4,963
-100,3,283
-100,1,117
-100,1,14
-100,2,224
