n Nc haps time1 time2 time3 time4
100 600 300 0.08 0.675 0.232 0.08
100 600 600 0.176 1.341 0.000005 NA
100 1200 300 0.08 0.64 0.69 0.081
100 1200 600 0.329 1.275 0.466 NA
100 3000 300 0.1 0.64 2.06 0.08
100 3000 600 1.09 1.26 1.82 NA
200 600 300 0.2 1.26 0.48 0.084
200 600 600 0.44 2.549 0.000014 NA
200 1200 300 0.25 1.26 1.4 0.081
200 1200 600 0.876 2.448 0.934 NA
200 3000 300 0.8 1.267 4.195 0.083
200 3000 600 2.127 2.48 3.725 NA
400 600 300 0.8 2.61 0.963 0.084
400 600 600 1.85 4.89 0.000129 NA
400 1200 300 0.9 2.47 2.91 0.081
400 1200 600 4.635 4.88 2.033 NA
400 3000 300 1 2.49 8.477 0.08
400 3000 600 11.15 4.92 7.47 NA
