time_index	left_time_boundary	right_time_boundary	lambda
0	0	8.61855e-07	402.223
1	8.61855e-07	2.09695e-06	4061.85
2	2.09695e-06	3.86692e-06	5336.88
3	3.86692e-06	6.40341e-06	2001.16
4	6.40341e-06	1.00384e-05	1300.51
5	1.00384e-05	1.52475e-05	957.657
6	1.52475e-05	2.27125e-05	533.149
7	2.27125e-05	3.34104e-05	331.131
8	3.34104e-05	4.87411e-05	331.131
9	4.87411e-05	7.0711e-05	489.983
10	7.0711e-05	0.000102195	799.325
11	0.000102195	0.000147315	1045.25
12	0.000147315	0.000211973	919.772
13	0.000211973	0.000304634	591.92
14	0.000304634	0.000437422	344.356
15	0.000437422	0.000627716	211.156
16	0.000627716	0.000900421	153.407
17	0.000900421	0.00129122	130.521
18	0.00129122	0.00185127	121.33
19	0.00185127	0.00265385	118.715
20	0.00265385	0.00380401	118.596
21	0.00380401	0.00545226	117.656
22	0.00545226	0.0078143	112.598
23	0.0078143	0.0111993	105.767
24	0.0111993	0.0160502	96.2467
25	0.0160502	0.0230018	87.313
26	0.0230018	0.0329639	87.313
27	0.0329639	0.0472404	3.38275
28	0.0472404	0.0676994	3.38275
29	0.0676994	inf	3.38275
