Xl,gamma,al,exp.al
 1.070000e-02,-1.000000e+02, 4.530000e+02, 4.890883e+02
 1.115000e-02,-1.000000e+02, 4.630000e+02, 4.993779e+02
 1.200000e-02,-1.000000e+02, 2.460000e+02, 5.180679e+02
 1.915000e-02,-1.000000e+02, 3.280000e+02, 6.470010e+02
 1.827500e-02,-1.000000e+02, 7.320000e+02, 6.333336e+02
 1.260000e-02,-1.000000e+02, 5.830000e+02, 5.307200e+02
 1.742500e-02,-1.000000e+02, 3.970000e+02, 6.195874e+02
 1.162500e-02,-1.000000e+02, 2.440000e+02, 5.099377e+02
 1.457500e-02,-1.000000e+02, 4.780000e+02, 5.696084e+02
 1.152500e-02,-1.000000e+02, 1.680000e+02, 5.077394e+02
 1.105000e-02,-1.000000e+02, 5.540000e+02, 4.971159e+02
 1.245000e-02,-1.000000e+02, 4.610000e+02, 5.275967e+02
 1.290000e-02,-1.000000e+02, 8.760000e+02, 5.368899e+02
 1.250000e-02,-1.000000e+02, 3.260000e+02, 5.286406e+02
 1.525000e-02,-1.000000e+02, 1.290000e+02, 5.820413e+02
 2.115000e-02,-1.000000e+02, 7.840000e+02, 6.765814e+02
 1.252500e-02,-1.000000e+02, 5.460000e+02, 5.291616e+02
 1.082500e-02,-1.000000e+02, 8.590000e+02, 4.919754e+02
 1.165000e-02,-1.000000e+02, 4.220000e+02, 5.104853e+02
 1.137500e-02,-1.000000e+02, 1.570000e+02, 5.044173e+02
 1.697500e-02,-1.000000e+02, 7.100000e+02, 6.121103e+02
 1.885000e-02,-1.000000e+02, 7.400000e+02, 6.423680e+02
 1.125000e-02,-1.000000e+02, 1.222000e+03, 5.016261e+02
 1.685000e-02,-1.000000e+02, 4.940000e+02, 6.100078e+02
 2.045000e-02,-1.000000e+02, 3.280000e+02, 6.664757e+02
 1.085000e-02,-1.000000e+02, 1.720000e+02, 4.925501e+02
 1.257500e-02,-1.000000e+02, 1.356000e+03, 5.302012e+02
 1.067500e-02,-1.000000e+02, 3.650000e+02, 4.885081e+02
 1.400000e-02,-1.000000e+02, 6.020000e+02, 5.586903e+02
 1.332500e-02,-1.000000e+02, 1.089000e+03, 5.454618e+02
 1.475000e-02,-1.000000e+02, 9.670000e+02, 5.728706e+02
 1.580000e-02,-1.000000e+02, 2.210000e+02, 5.918837e+02
 1.025000e-02,-1.000000e+02, 3.660000e+02, 4.785029e+02
 1.280000e-02,-1.000000e+02, 1.590000e+02, 5.348444e+02
 2.782500e-02,-1.000000e+02, 5.750000e+02, 7.620659e+02
 1.237500e-02,-1.000000e+02, 2.750000e+02, 5.260253e+02
 1.032500e-02,-1.000000e+02, 4.740000e+02, 4.802885e+02
 1.172500e-02,-1.000000e+02, 3.220000e+02, 5.121231e+02
 1.032500e-02,-1.000000e+02, 3.660000e+02, 4.802885e+02
 1.267500e-02,-1.000000e+02, 3.580000e+02, 5.322719e+02
 1.775000e-02,-1.000000e+02, 2.850000e+02, 6.249002e+02
 1.270000e-02,-1.000000e+02, 2.670000e+02, 5.327878e+02
 1.210000e-02,-1.000000e+02, 4.190000e+02, 5.202065e+02
 1.247500e-02,-1.000000e+02, 2.580000e+02, 5.281190e+02
 1.057500e-02,-1.000000e+02, 4.350000e+02, 4.861784e+02
 2.072500e-02,-1.000000e+02, 2.190000e+02, 6.704762e+02
 1.830000e-02,-1.000000e+02, 2.000000e+02, 6.337307e+02
 1.022500e-02,-1.000000e+02, 1.700000e+02, 4.779058e+02
 1.977500e-02,-1.000000e+02, 4.900000e+02, 6.564827e+02
 1.170000e-02,-1.000000e+02, 7.150000e+02, 5.115780e+02
 1.997500e-02,-1.000000e+02, 5.840000e+02, 6.594698e+02
 2.102500e-02,-1.000000e+02, 7.880000e+02, 6.747954e+02
 1.595000e-02,-1.000000e+02, 4.450000e+02, 5.945252e+02
 1.237500e-02,-1.000000e+02, 2.940000e+02, 5.260253e+02
 1.652500e-02,-1.000000e+02, 5.670000e+02, 6.044875e+02
 1.070000e-02,-1.000000e+02, 1.049000e+03, 4.890883e+02
 1.107500e-02,-1.000000e+02, 2.930000e+02, 4.976827e+02
 1.375000e-02,-1.000000e+02, 1.011000e+03, 5.538443e+02
 1.427500e-02,-1.000000e+02, 2.930000e+02, 5.639509e+02
 1.127500e-02,-1.000000e+02, 5.750000e+02, 5.021860e+02
 1.222500e-02,-1.000000e+02, 4.060000e+02, 5.228626e+02
 1.032500e-02,-1.000000e+02, 3.700000e+02, 4.802885e+02
 1.465000e-02,-1.000000e+02, 8.510000e+02, 5.710099e+02
 1.175000e-02,-1.000000e+02, 1.303000e+03, 5.126675e+02
 1.075000e-02,-1.000000e+02, 6.480000e+02, 4.902458e+02
 1.282500e-02,-1.000000e+02, 2.150000e+02, 5.353569e+02
 1.452500e-02,-1.000000e+02, 7.580000e+02, 5.686713e+02
 1.067500e-02,-1.000000e+02, 2.060000e+02, 4.885081e+02
 1.282500e-02,-1.000000e+02, 2.520000e+02, 5.353569e+02
 1.325000e-02,-1.000000e+02, 6.150000e+02, 5.439631e+02
 1.150000e-02,-1.000000e+02, 4.500000e+02, 5.071878e+02
 2.252500e-02,-1.000000e+02, 2.120000e+02, 6.957211e+02
 1.410000e-02,-1.000000e+02, 3.490000e+02, 5.606117e+02
 1.347500e-02,-1.000000e+02, 1.700000e+02, 5.484415e+02
 1.092500e-02,-1.000000e+02, 1.788000e+03, 4.942689e+02
 1.200000e-02,-1.000000e+02, 1.340000e+02, 5.180679e+02
 1.545000e-02,-1.000000e+02, 1.730000e+02, 5.856494e+02
 1.240000e-02,-1.000000e+02, 1.060000e+02, 5.265498e+02
