Xl,gamma,al
    0.001025,  -20.000000,  259.000000
    0.001525,  -20.000000,   67.000000
    0.039025,  -20.000000, 1526.000000
    0.004100,  -20.000000, 2653.000000
    0.000625,  -20.000000,  110.000000
    0.000350,  -20.000000,   44.000000
    0.000075,  -20.000000,   11.000000
    0.004050,  -20.000000,   97.000000
    0.000650,  -20.000000,   48.000000
    0.001225,  -20.000000,   55.000000
    0.000425,  -20.000000,   15.000000
    0.000075,  -20.000000,    3.000000
    0.000500,  -20.000000,    5.000000
    0.004375,  -20.000000,   61.000000
    0.041475,  -20.000000,  928.000000
    0.000050,  -20.000000,    1.000000
    0.001250,  -20.000000,  145.000000
    0.001350,  -20.000000,   80.000000
    0.000025,  -20.000000,    1.000000
    0.006550,  -20.000000,  644.000000
    0.000025,  -20.000000,    1.000000
    0.000075,  -20.000000,    3.000000
    0.005900,  -20.000000,  242.000000
    0.000100,  -20.000000,  177.000000
    0.002475,  -20.000000,   62.000000
    0.012025,  -20.000000,  906.000000
    0.000025,  -20.000000,    1.000000
    0.000300,  -20.000000,   10.000000
    0.001575,  -20.000000,   28.000000
    0.004575,  -20.000000,  341.000000
    0.002275,  -20.000000,  626.000000
    0.000325,  -20.000000,   11.000000
    0.000050,  -20.000000,    1.000000
    0.018350,  -20.000000, 1190.000000
    0.000650,  -20.000000,   41.000000
    0.006225,  -20.000000,  377.000000
    0.000050,  -20.000000,    1.000000
    0.000025,  -20.000000,    1.000000
    0.000075,  -20.000000,    6.000000
    0.000100,  -20.000000,    2.000000
    0.000075,  -20.000000,   30.000000
    0.003400,  -20.000000,   38.000000
    0.002000,  -20.000000,   31.000000
    0.008125,  -20.000000,  234.000000
    0.000325,  -20.000000,   15.000000
    0.002050,  -20.000000,   72.000000
    0.000425,  -20.000000,  115.000000
    0.004650,  -20.000000,   92.000000
    0.000175,  -20.000000,    2.000000
    0.000650,  -20.000000,   17.000000
    0.003125,  -20.000000,  106.000000
    0.000900,  -20.000000,   30.000000
    0.001100,  -20.000000,   67.000000
    0.010925,  -20.000000,  672.000000
    0.001825,  -20.000000,  103.000000
    0.000525,  -20.000000,  193.000000
    0.004300,  -20.000000,  237.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.001825,  -20.000000,  931.000000
    0.000100,  -20.000000,    3.000000
    0.004350,  -20.000000,   73.000000
    0.002400,  -20.000000,  692.000000
    0.011700,  -20.000000,  201.000000
    0.000275,  -20.000000,    6.000000
    0.000025,  -20.000000,    1.000000
    0.000500,  -20.000000,  914.000000
    0.011775,  -20.000000,  640.000000
    0.000025,  -20.000000,    1.000000
    0.000175,  -20.000000,    5.000000
    0.000800,  -20.000000,   33.000000
    0.001825,  -20.000000,   34.000000
    0.000725,  -20.000000,   33.000000
    0.000425,  -20.000000,    3.000000
    0.000075,  -20.000000,    2.000000
    0.028600,  -20.000000,  440.000000
    0.071025,  -20.000000,10173.000000
    0.000725,  -20.000000,    7.000000
    0.008750,  -20.000000,  434.000000
    0.004475,  -20.000000,  392.000000
    0.000775,  -20.000000,   49.000000
    0.001225,  -20.000000,  116.000000
    0.000300,  -20.000000,    6.000000
    0.000075,  -20.000000,    5.000000
    0.002050,  -20.000000,  120.000000
    0.005800,  -20.000000,  103.000000
    0.002625,  -20.000000,  131.000000
    0.000100,  -20.000000,    3.000000
    0.000050,  -20.000000,    1.000000
    0.032225,  -20.000000, 4009.000000
    0.000050,  -20.000000,    1.000000
    0.000175,  -20.000000,    3.000000
    0.001425,  -20.000000,   39.000000
    0.000125,  -20.000000,    2.000000
    0.002700,  -20.000000,   56.000000
    0.000600,  -20.000000,   44.000000
    0.000300,  -20.000000,   10.000000
    0.011150,  -20.000000, 1893.000000
    0.000050,  -20.000000,    1.000000
    0.000875,  -20.000000,   56.000000
    0.000050,  -20.000000,    1.000000
    0.000100,  -20.000000,    2.000000
    0.002325,  -20.000000,  237.000000
    0.000100,  -20.000000,    8.000000
    0.000050,  -20.000000,    1.000000
    0.007700,  -20.000000,  281.000000
    0.001700,  -20.000000,   61.000000
    0.015000,  -20.000000, 2261.000000
    0.000200,  -20.000000,   10.000000
    0.005325,  -20.000000,  724.000000
    0.000350,  -20.000000,   75.000000
    0.007850,  -20.000000,  364.000000
    0.000025,  -20.000000,    1.000000
    0.000075,  -20.000000,    5.000000
    0.000800,  -20.000000,  148.000000
    0.000100,  -20.000000,    5.000000
    0.001700,  -20.000000,  170.000000
    0.000175,  -20.000000,    4.000000
    0.001550,  -20.000000,  467.000000
    0.000350,  -20.000000,   55.000000
    0.000125,  -20.000000,    4.000000
    0.000475,  -20.000000,   70.000000
    0.003875,  -20.000000,   44.000000
    0.002700,  -20.000000,  116.000000
    0.000150,  -20.000000,    3.000000
    0.000200,  -20.000000,   36.000000
    0.000025,  -20.000000,    1.000000
    0.000025,  -20.000000,    1.000000
    0.000175,  -20.000000,   16.000000
    0.001075,  -20.000000,   30.000000
    0.001175,  -20.000000,   51.000000
    0.000075,  -20.000000,    5.000000
    0.003800,  -20.000000,  101.000000
    0.002675,  -20.000000,  426.000000
    0.004550,  -20.000000, 1260.000000
    0.000050,  -20.000000,    1.000000
    0.000525,  -20.000000,    9.000000
    0.011675,  -20.000000,  305.000000
    0.003625,  -20.000000,  373.000000
    0.000150,  -20.000000,    2.000000
    0.002125,  -20.000000,   81.000000
    0.032000,  -20.000000,  697.000000
    0.013500,  -20.000000, 2279.000000
    0.000125,  -20.000000,    5.000000
    0.014275,  -20.000000,  341.000000
    0.019775,  -20.000000, 1167.000000
    0.000050,  -20.000000,    1.000000
    0.000475,  -20.000000,    6.000000
    0.001000,  -20.000000,  217.000000
    0.001375,  -20.000000,   22.000000
    0.007450,  -20.000000,  182.000000
    0.006025,  -20.000000, 1576.000000
    0.013425,  -20.000000, 3156.000000
    0.000200,  -20.000000,   11.000000
    0.020850,  -20.000000,  963.000000
    0.000050,  -20.000000,    1.000000
    0.004725,  -20.000000,  108.000000
    0.000025,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.013700,  -20.000000,  863.000000
    0.014150,  -20.000000, 1744.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.004975,  -20.000000,  785.000000
    0.000400,  -20.000000,   17.000000
    0.002475,  -20.000000,   40.000000
    0.010100,  -20.000000,  332.000000
    0.004700,  -20.000000,  236.000000
    0.000050,  -20.000000,    1.000000
    0.005150,  -20.000000,   62.000000
    0.000150,  -20.000000,    5.000000
    0.000050,  -20.000000,    1.000000
    0.000225,  -20.000000,   12.000000
    0.000475,  -20.000000,   11.000000
    0.004800,  -20.000000,  363.000000
    0.002425,  -20.000000,   96.000000
    0.010275,  -20.000000,  372.000000
    0.000850,  -20.000000,   89.000000
    0.000075,  -20.000000,    5.000000
    0.000400,  -20.000000,    8.000000
    0.000375,  -20.000000,    3.000000
    0.000975,  -20.000000,   27.000000
    0.002475,  -20.000000,   93.000000
    0.004225,  -20.000000,  196.000000
    0.031700,  -20.000000, 3718.000000
    0.000150,  -20.000000,   26.000000
    0.001725,  -20.000000,  137.000000
    0.000050,  -20.000000,    1.000000
    0.000350,  -20.000000,    7.000000
    0.011500,  -20.000000,  340.000000
    0.000050,  -20.000000,    1.000000
    0.000275,  -20.000000,    7.000000
    0.002850,  -20.000000, 1957.000000
    0.000325,  -20.000000,    4.000000
    0.000425,  -20.000000,  207.000000
    0.001125,  -20.000000,  124.000000
    0.001200,  -20.000000,    8.000000
    0.001825,  -20.000000,   12.000000
    0.000225,  -20.000000,    3.000000
    0.000200,  -20.000000,    6.000000
    0.000075,  -20.000000,    3.000000
    0.006750,  -20.000000,  342.000000
    0.010600,  -20.000000,  763.000000
    0.000675,  -20.000000,  139.000000
    0.001300,  -20.000000,  456.000000
    0.033650,  -20.000000,  911.000000
    0.001175,  -20.000000,   72.000000
    0.002550,  -20.000000,  195.000000
    0.000050,  -20.000000,    1.000000
    0.000125,  -20.000000,   12.000000
    0.000700,  -20.000000,   16.000000
    0.000650,  -20.000000,   77.000000
    0.003700,  -20.000000,  138.000000
    0.000075,  -20.000000,    2.000000
    0.000025,  -20.000000,    1.000000
    0.005125,  -20.000000,   94.000000
    0.000050,  -20.000000,    1.000000
    0.000325,  -20.000000,   76.000000
    0.000150,  -20.000000,  122.000000
    0.002600,  -20.000000,  112.000000
    0.069850,  -20.000000, 7182.000000
    0.002775,  -20.000000,  135.000000
    0.000075,  -20.000000,    2.000000
    0.000275,  -20.000000,   40.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.001625,  -20.000000,  196.000000
    0.001825,  -20.000000,   44.000000
    0.000050,  -20.000000,    1.000000
    0.000300,  -20.000000,  313.000000
    0.027750,  -20.000000,  876.000000
    0.000050,  -20.000000,    1.000000
    0.011325,  -20.000000,  262.000000
    0.000675,  -20.000000,   54.000000
    0.007325,  -20.000000,  134.000000
    0.000050,  -20.000000,    1.000000
    0.000775,  -20.000000,  147.000000
    0.000100,  -20.000000,    2.000000
    0.000350,  -20.000000,    4.000000
    0.000125,  -20.000000,    9.000000
    0.000775,  -20.000000,  778.000000
    0.013850,  -20.000000, 5342.000000
    0.000950,  -20.000000,  134.000000
    0.000125,  -20.000000,    3.000000
    0.000525,  -20.000000,   67.000000
    0.000625,  -20.000000,   62.000000
    0.000300,  -20.000000,   35.000000
    0.000675,  -20.000000,    8.000000
    0.013775,  -20.000000, 8823.000000
    0.009725,  -20.000000,  386.000000
    0.000050,  -20.000000,    1.000000
    0.000975,  -20.000000,  738.000000
    0.001900,  -20.000000,   21.000000
    0.000450,  -20.000000,  202.000000
    0.000575,  -20.000000,   15.000000
    0.052700,  -20.000000, 2015.000000
    0.005025,  -20.000000,  102.000000
    0.015300,  -20.000000, 1670.000000
    0.000075,  -20.000000,    4.000000
    0.000025,  -20.000000,    1.000000
    0.000400,  -20.000000,   22.000000
    0.000875,  -20.000000,   12.000000
    0.012950,  -20.000000,  754.000000
    0.000150,  -20.000000,   10.000000
    0.000800,  -20.000000,   28.000000
    0.000800,  -20.000000,   66.000000
    0.000175,  -20.000000,    8.000000
    0.011325,  -20.000000,  540.000000
    0.002200,  -20.000000,  375.000000
    0.000025,  -20.000000,    1.000000
    0.000525,  -20.000000,   63.000000
    0.000175,  -20.000000,   16.000000
    0.000225,  -20.000000,   30.000000
    0.002300,  -20.000000,   20.000000
    0.000050,  -20.000000,    1.000000
    0.005200,  -20.000000,  742.000000
    0.002950,  -20.000000,   30.000000
    0.000125,  -20.000000,    3.000000
    0.003650,  -20.000000,  128.000000
    0.010300,  -20.000000,  883.000000
    0.000425,  -20.000000,    4.000000
    0.000100,  -20.000000,    3.000000
    0.001225,  -20.000000,  111.000000
    0.002150,  -20.000000,   57.000000
    0.005775,  -20.000000,  139.000000
    0.000700,  -20.000000,    9.000000
    0.000575,  -20.000000,   89.000000
    0.000250,  -20.000000,   21.000000
    0.000325,  -20.000000,    7.000000
    0.000525,  -20.000000,   23.000000
    0.000025,  -20.000000,    1.000000
    0.002875,  -20.000000,  361.000000
    0.000050,  -20.000000,    1.000000
    0.007400,  -20.000000,  204.000000
    0.000025,  -20.000000,    1.000000
    0.000150,  -20.000000,    4.000000
    0.028850,  -20.000000, 1884.000000
    0.002475,  -20.000000,  142.000000
    0.001775,  -20.000000,   47.000000
    0.000125,  -20.000000,    2.000000
    0.000250,  -20.000000,    9.000000
    0.000075,  -20.000000,    2.000000
    0.000350,  -20.000000,   87.000000
    0.000350,  -20.000000,   73.000000
    0.000200,  -20.000000,    2.000000
    0.000975,  -20.000000,   25.000000
    0.001475,  -20.000000,  101.000000
    0.000075,  -20.000000,    3.000000
    0.000700,  -20.000000,   31.000000
    0.000825,  -20.000000,   58.000000
    0.000050,  -20.000000,    1.000000
    0.000175,  -20.000000,   11.000000
    0.001775,  -20.000000,   73.000000
