Xl,gamma,al
 8.800000e-03,-1.000000e+02, 3.810000e+02
 7.800000e-03,-6.812921e+01, 5.590000e+02
 1.200000e-03,-4.641589e+01, 3.690000e+02
 5.000000e-03,-3.162278e+01, 9.800000e+02
 8.000000e-04,-2.154435e+01, 5.600000e+02
 6.000000e-04,-1.467799e+01, 8.840000e+02
 8.600000e-03,-1.000000e+01, 3.186000e+03
 3.800000e-03,-6.812921e+00, 5.089000e+03
 4.000000e-04,-4.641589e+00, 1.659000e+03
 6.600000e-03,-3.162278e+00, 8.730000e+03
 1.000000e-03,-2.154435e+00, 5.821000e+03
 1.400000e-03,-1.467799e+00, 3.262000e+03
 6.000000e-04,-1.000000e+00, 3.760000e+03
 1.400000e-03,-6.812921e-01, 7.171000e+03
 4.000000e-04,-4.641589e-01, 1.270000e+03
 1.600000e-03,-3.162278e-01, 1.066000e+04
 2.200000e-03,-2.154435e-01, 8.788000e+03
 4.000000e-04,-1.467799e-01, 7.120000e+02
 1.000000e-03,-1.000000e-01, 3.390000e+03
 6.000000e-04,-6.812921e-02, 6.141000e+03
 1.800000e-03,-4.641589e-02, 6.680000e+03
 2.200000e-03,-3.162278e-02, 1.001700e+04
 5.000000e-03,-2.154435e-02, 1.631600e+04
 1.800000e-03,-1.467799e-02, 9.528000e+03
 6.000000e-04,-1.000000e-02, 7.534000e+03
 6.000000e-04, 1.000000e-02, 3.899000e+03
 4.400000e-03, 1.467799e-02, 1.599300e+04
 1.400000e-03, 2.154435e-02, 6.815000e+03
 2.600000e-03, 3.162278e-02, 8.782000e+03
 6.000000e-04, 4.641589e-02, 2.817000e+03
 3.400000e-03, 6.812921e-02, 1.458900e+04
 1.600000e-03, 1.000000e-01, 1.186000e+04
 4.000000e-04, 1.467799e-01, 2.932000e+03
 4.000000e-04, 2.154435e-01, 4.916000e+03
 6.000000e-04, 3.162278e-01, 9.053000e+03
 1.600000e-03, 4.641589e-01, 1.164400e+04
 1.400000e-03, 6.812921e-01, 7.028000e+03
 6.000000e-04, 1.000000e+00, 1.713000e+03
 8.600000e-03, 1.467799e+00, 1.331600e+04
 4.200000e-03, 2.154435e+00, 8.449000e+03
 2.000000e-03, 3.162278e+00, 4.772000e+03
 6.000000e-04, 4.641589e+00, 1.474000e+03
 2.520000e-02, 6.812921e+00, 5.713000e+03
 2.600000e-03, 1.000000e+01, 2.896000e+03
 4.600000e-03, 1.467799e+01, 2.224000e+03
 4.000000e-04, 2.154435e+01, 3.420000e+02
 4.000000e-03, 3.162278e+01, 1.058000e+03
 3.800000e-03, 4.641589e+01, 6.210000e+02
 4.000000e-04, 6.812921e+01, 1.220000e+02
 6.000000e-03, 1.000000e+02, 3.180000e+02
 6.000000e-04,-1.000000e+02, 1.040000e+02
 1.000000e-03,-6.812921e+01, 2.990000e+02
 9.400000e-03,-4.641589e+01, 8.120000e+02
 4.000000e-04,-3.162278e+01, 2.040000e+02
 1.200000e-03,-2.154435e+01, 8.620000e+02
 8.000000e-04,-1.467799e+01, 6.270000e+02
 1.600000e-02,-1.000000e+01, 4.337000e+03
 4.000000e-04,-6.812921e+00, 8.270000e+02
 1.000000e-03,-4.641589e+00, 2.137000e+03
 3.000000e-03,-3.162278e+00, 7.438000e+03
 6.000000e-04,-2.154435e+00, 1.111000e+04
 4.000000e-04,-1.467799e+00, 4.350000e+02
 3.200000e-02,-1.000000e+00, 1.853300e+04
 1.600000e-03,-6.812921e-01, 7.878000e+03
 6.000000e-04,-4.641589e-01, 3.006000e+03
 8.000000e-04,-3.162278e-01, 4.503000e+03
 4.000000e-04,-2.154435e-01, 9.830000e+02
 4.000000e-04,-1.467799e-01, 3.663000e+03
 1.600000e-03,-1.000000e-01, 8.376000e+03
 1.120000e-02,-6.812921e-02, 1.994000e+04
 6.000000e-04,-4.641589e-02, 5.852000e+03
 1.200000e-03,-3.162278e-02, 1.014900e+04
 6.400000e-03,-2.154435e-02, 1.474700e+04
 6.000000e-04,-1.467799e-02, 3.916000e+03
 1.200000e-03,-1.000000e-02, 1.070400e+04
 4.000000e-03, 1.000000e-02, 1.549100e+04
 2.400000e-03, 1.467799e-02, 1.074100e+04
 1.000000e-03, 2.154435e-02, 4.467000e+03
 8.000000e-04, 3.162278e-02, 4.052000e+03
 4.000000e-04, 4.641589e-02, 1.261000e+03
 2.400000e-03, 6.812921e-02, 9.071000e+03
 2.120000e-02, 1.000000e-01, 1.735800e+04
 1.600000e-03, 1.467799e-01, 8.262000e+03
 1.600000e-03, 2.154435e-01, 5.781000e+03
 4.200000e-03, 3.162278e-01, 1.274500e+04
 6.000000e-04, 4.641589e-01, 3.398000e+03
 1.400000e-03, 6.812921e-01, 6.513000e+03
 1.800000e-03, 1.000000e+00, 8.584000e+03
