Xl,gamma,al,exp.al,all.age
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.100000e-03,-1.000000e+02, 1.800000e+01, 4.680363e+01, 7.000000e+00
 4.300000e-03,-1.000000e+02, 9.000000e+00, 7.339328e+01, 5.900000e+01
 1.900000e-03,-1.000000e+02, 5.000000e+00, 4.379597e+01, 1.530000e+02
 6.000000e-04,-1.000000e+02, 2.000000e+00, 1.916765e+01, 1.000000e+00
 7.000000e-04,-1.000000e+02, 1.000000e+00, 2.154790e+01, 7.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-03,-1.000000e+02, 4.700000e+01, 2.803083e+01, 7.600000e+01
 3.000000e-04,-1.000000e+02, 2.910000e+02, 1.102226e+01, 1.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 4.000000e-04,-1.000000e+02, 2.000000e+00, 1.394566e+01, 1.000000e+00
 8.000000e-04,-1.000000e+02, 4.000000e+00, 2.380789e+01, 8.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 8.600000e-03,-1.000000e+02, 8.500000e+01, 1.084571e+02, 1.700000e+01
 6.000000e-04,-1.000000e+02, 1.300000e+01, 1.916765e+01, 1.000000e+00
 7.000000e-04,-1.000000e+02, 4.100000e+01, 2.154790e+01, 1.000000e+00
 1.100000e-03,-1.000000e+02, 7.000000e+00, 3.001712e+01, 2.260000e+02
 4.000000e-04,-1.000000e+02, 1.300000e+01, 1.394566e+01, 2.000000e+00
 1.100000e-03,-1.000000e+02, 5.000000e+00, 3.001712e+01, 1.500000e+01
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 1.600000e-03,-1.000000e+02, 1.200000e+01, 3.899722e+01, 1.800000e+01
 2.200000e-03,-1.000000e+02, 4.600000e+01, 4.825687e+01, 4.000000e+00
 7.100000e-03,-1.000000e+02, 1.310000e+02, 9.779347e+01, 3.100000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 9.000000e-04,-1.000000e+02, 1.000000e+00, 2.596453e+01, 6.000000e+00
 1.500000e-03,-1.000000e+02, 1.600000e+01, 3.730983e+01, 1.900000e+01
 1.000000e-03,-1.000000e+02, 9.000000e+00, 2.803083e+01, 2.700000e+01
 3.700000e-03,-1.000000e+02, 3.660000e+02, 6.704113e+01, 1.570000e+02
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.000000e-03,-1.000000e+02, 8.000000e+00, 2.803083e+01, 7.000000e+00
 1.800000e-03,-1.000000e+02, 6.000000e+00, 4.223724e+01, 2.600000e+01
 6.000000e-04,-1.000000e+02, 1.000000e+00, 1.916765e+01, 9.000000e+00
 2.300000e-03,-1.000000e+02, 1.000000e+01, 4.967892e+01, 1.400000e+01
 7.000000e-04,-1.000000e+02, 2.000000e+00, 2.154790e+01, 1.300000e+01
 7.200000e-03,-1.000000e+02, 1.700000e+01, 9.854634e+01, 3.500000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 8.000000e+00, 1.102226e+01, 7.000000e+01
 2.200000e-03,-1.000000e+02, 7.800000e+01, 4.825687e+01, 3.800000e+01
 3.000000e-03,-1.000000e+02, 6.000000e+00, 5.888381e+01, 2.200000e+01
 3.300000e-03,-1.000000e+02, 7.800000e+01, 6.249068e+01, 5.800000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.110000e-02,-1.000000e+02, 2.670000e+02, 1.238145e+02, 7.100000e+01
 5.000000e-04,-1.000000e+02, 1.900000e+01, 1.664434e+01, 1.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.200000e-03,-1.000000e+02, 2.500000e+01, 3.193177e+01, 9.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 3.000000e+00, 1.102226e+01, 1.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.000000e-03,-1.000000e+02, 2.800000e+01, 4.531734e+01, 1.300000e+01
 1.300000e-03,-1.000000e+02, 4.000000e+00, 3.378170e+01, 2.600000e+01
 8.000000e-04,-1.000000e+02, 7.000000e+00, 2.380789e+01, 1.000000e+01
 6.000000e-04,-1.000000e+02, 2.000000e+00, 1.916765e+01, 5.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.300000e-03,-1.000000e+02, 8.400000e+01, 4.967892e+01, 3.000000e+01
 1.200000e-03,-1.000000e+02, 2.000000e+01, 3.193177e+01, 4.900000e+01
 3.000000e-04,-1.000000e+02, 2.200000e+01, 1.102226e+01, 4.000000e+00
 9.000000e-04,-1.000000e+02, 1.200000e+01, 2.596453e+01, 7.000000e+00
 1.600000e-03,-1.000000e+02, 1.070000e+02, 3.899722e+01, 5.800000e+01
 4.000000e-04,-1.000000e+02, 4.000000e+00, 1.394566e+01, 1.000000e+00
 5.500000e-03,-1.000000e+02, 4.100000e+01, 8.474321e+01, 1.500000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 4.000000e-04,-1.000000e+02, 2.000000e+00, 1.394566e+01, 5.400000e+01
 1.600000e-03,-1.000000e+02, 1.200000e+01, 3.899722e+01, 1.000000e+01
 3.000000e-04,-1.000000e+02, 1.400000e+01, 1.102226e+01, 2.800000e+01
 6.000000e-04,-1.000000e+02, 1.000000e+00, 1.916765e+01, 5.000000e+00
 4.000000e-04,-1.000000e+02, 1.000000e+00, 1.394566e+01, 4.000000e+00
 3.300000e-03,-1.000000e+02, 3.300000e+01, 6.249068e+01, 1.000000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.300000e-03,-1.000000e+02, 8.000000e+00, 3.378170e+01, 8.000000e+01
 4.000000e-03,-1.000000e+02, 1.900000e+01, 7.028264e+01, 5.100000e+01
 3.000000e-04,-1.000000e+02, 7.000000e+00, 1.102226e+01, 6.100000e+01
 5.000000e-04,-1.000000e+02, 4.000000e+00, 1.664434e+01, 2.100000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.400000e-03,-1.000000e+02, 1.400000e+01, 3.557274e+01, 1.100000e+01
 2.800000e-03,-1.000000e+02, 3.400000e+01, 5.637502e+01, 2.600000e+01
 8.000000e-04,-1.000000e+02, 1.000000e+00, 2.380789e+01, 2.600000e+01
 3.700000e-03,-1.000000e+02, 2.600000e+01, 6.704113e+01, 8.900000e+01
 5.000000e-04,-1.000000e+02, 1.100000e+01, 1.664434e+01, 7.800000e+01
 3.000000e-04,-1.000000e+02, 2.000000e+00, 1.102226e+01, 2.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 2.800000e-03,-1.000000e+02, 4.100000e+01, 5.637502e+01, 2.300000e+01
 3.000000e-04,-1.000000e+02, 3.100000e+01, 1.102226e+01, 1.000000e+00
 4.000000e-04,-1.000000e+02, 5.000000e+00, 1.394566e+01, 2.500000e+01
 6.000000e-04,-1.000000e+02, 1.500000e+01, 1.916765e+01, 3.000000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 8.000000e-04,-1.000000e+02, 6.000000e+00, 2.380789e+01, 1.220000e+02
 1.300000e-03,-1.000000e+02, 1.900000e+01, 3.378170e+01, 1.190000e+02
 9.000000e-04,-1.000000e+02, 1.800000e+01, 2.596453e+01, 7.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.400000e-03,-1.000000e+02, 1.080000e+02, 3.557274e+01, 1.790000e+02
 4.200000e-03,-1.000000e+02, 3.600000e+01, 7.237016e+01, 5.000000e+01
 1.300000e-03,-1.000000e+02, 3.000000e+00, 3.378170e+01, 4.000000e+00
 2.800000e-03,-1.000000e+02, 1.200000e+01, 5.637502e+01, 2.800000e+01
 3.100000e-03,-1.000000e+02, 4.500000e+01, 6.010608e+01, 5.000000e+00
