Xl,gamma,al,exp.al
 8.575000e-03,-1.000000e+02, 6.720000e+02, 4.361491e+02
 1.232500e-02,-1.000000e+02, 3.790000e+02, 5.249740e+02
 6.550000e-03,-1.000000e+02, 1.950000e+02, 3.771131e+02
 9.750000e-03,-1.000000e+02, 3.980000e+02, 4.663706e+02
 7.500000e-03,-1.000000e+02, 3.910000e+02, 4.060568e+02
 1.135000e-02,-1.000000e+02, 2.120000e+02, 5.038608e+02
 7.375000e-03,-1.000000e+02, 4.150000e+02, 4.023841e+02
 1.305000e-02,-1.000000e+02, 1.114000e+03, 5.399375e+02
 5.900000e-03,-1.000000e+02, 5.780000e+02, 3.557926e+02
 5.200000e-03,-1.000000e+02, 1.990000e+02, 3.311977e+02
 1.855000e-02,-1.000000e+02, 2.600000e+02, 6.376802e+02
 6.200000e-03,-1.000000e+02, 2.830000e+02, 3.658006e+02
 9.925000e-03,-1.000000e+02, 1.970000e+02, 4.706630e+02
 1.145000e-02,-1.000000e+02, 8.030000e+02, 5.060821e+02
 8.375000e-03,-1.000000e+02, 3.580000e+02, 4.307412e+02
 1.202500e-02,-1.000000e+02, 3.580000e+02, 5.186037e+02
 1.382500e-02,-1.000000e+02, 3.050000e+02, 5.553046e+02
 5.575000e-03,-1.000000e+02, 2.100000e+02, 3.446009e+02
 6.325000e-03,-1.000000e+02, 1.290000e+02, 3.698843e+02
 1.345000e-02,-1.000000e+02, 6.240000e+02, 5.479465e+02
 7.200000e-03,-1.000000e+02, 8.410000e+02, 3.971762e+02
 7.725000e-03,-1.000000e+02, 7.000000e+01, 4.125718e+02
 5.900000e-03,-1.000000e+02, 5.900000e+01, 3.557926e+02
 5.150000e-03,-1.000000e+02, 9.100000e+01, 3.293684e+02
 1.597500e-02,-1.000000e+02, 9.010000e+02, 5.949637e+02
 7.975000e-03,-1.000000e+02, 1.102000e+03, 4.196713e+02
 5.400000e-03,-1.000000e+02, 3.130000e+02, 3.384141e+02
 6.525000e-03,-1.000000e+02, 1.030000e+03, 3.763174e+02
 6.775000e-03,-1.000000e+02, 3.680000e+02, 3.841916e+02
 6.700000e-03,-1.000000e+02, 1.624000e+03, 3.818484e+02
 1.147500e-02,-1.000000e+02, 1.100000e+03, 5.066353e+02
 5.775000e-03,-1.000000e+02, 2.660000e+02, 3.515326e+02
 9.925000e-03,-1.000000e+02, 1.894000e+03, 4.706630e+02
 9.725000e-03,-1.000000e+02, 2.320000e+02, 4.657532e+02
 1.815000e-02,-1.000000e+02, 1.760000e+02, 6.313420e+02
 5.700000e-03,-1.000000e+02, 1.373000e+03, 3.489502e+02
 6.175000e-03,-1.000000e+02, 5.400000e+01, 3.649779e+02
 8.150000e-03,-1.000000e+02, 1.380000e+02, 4.245571e+02
 1.007500e-02,-1.000000e+02, 2.530000e+02, 4.743023e+02
 8.300000e-03,-1.000000e+02, 1.530000e+02, 4.286918e+02
 7.350000e-03,-1.000000e+02, 2.570000e+02, 4.016449e+02
 5.750000e-03,-1.000000e+02, 5.560000e+02, 3.506740e+02
 5.425000e-03,-1.000000e+02, 1.500000e+02, 3.393051e+02
 7.700000e-03,-1.000000e+02, 9.200000e+01, 4.118539e+02
 7.975000e-03,-1.000000e+02, 2.200000e+02, 4.196713e+02
 6.600000e-03,-1.000000e+02, 1.751000e+03, 3.786988e+02
 6.175000e-03,-1.000000e+02, 1.360000e+02, 3.649779e+02
 7.250000e-03,-1.000000e+02, 4.020000e+02, 3.986722e+02
 9.025000e-03,-1.000000e+02, 9.010000e+02, 4.480253e+02
 5.500000e-03,-1.000000e+02, 1.590000e+02, 3.419637e+02
 8.050000e-03,-1.000000e+02, 8.290000e+02, 4.217735e+02
 1.855000e-02,-1.000000e+02, 3.070000e+02, 6.376802e+02
 5.675000e-03,-1.000000e+02, 9.200000e+01, 3.480849e+02
 6.575000e-03,-1.000000e+02, 4.550000e+02, 3.779069e+02
 1.225000e-02,-1.000000e+02, 2.510000e+02, 5.233915e+02
 5.850000e-03,-1.000000e+02, 4.367000e+03, 3.540951e+02
 6.200000e-03,-1.000000e+02, 1.770000e+02, 3.658006e+02
 1.567500e-02,-1.000000e+02, 6.520000e+02, 5.896687e+02
 5.250000e-03,-1.000000e+02, 1.390000e+02, 3.330168e+02
 5.550000e-03,-1.000000e+02, 8.500000e+01, 3.437242e+02
 1.047500e-02,-1.000000e+02, 1.148000e+03, 4.838337e+02
 8.125000e-03,-1.000000e+02, 1.807000e+03, 4.238632e+02
 9.625000e-03,-1.000000e+02, 3.130000e+02, 4.632733e+02
 5.900000e-03,-1.000000e+02, 3.880000e+02, 3.557926e+02
 5.475000e-03,-1.000000e+02, 3.280000e+02, 3.410799e+02
 9.025000e-03,-1.000000e+02, 4.210000e+02, 4.480253e+02
 1.250000e-02,-1.000000e+02, 2.610000e+02, 5.286406e+02
