Xl,gamma,al
     0.005375,  -100.000000,   231.000000
     0.006650,  -100.000000,   263.000000
     0.011525,  -100.000000,   431.000000
     0.005475,  -100.000000,    83.000000
     0.013800,  -100.000000,   323.000000
     0.006650,  -100.000000,    89.000000
     0.009925,  -100.000000,   171.000000
     0.015025,  -100.000000,   867.000000
     0.009000,  -100.000000,   683.000000
     0.005950,  -100.000000,    89.000000
     0.009725,  -100.000000,   776.000000
     0.005400,  -100.000000,   101.000000
     0.008850,  -100.000000,   705.000000
     0.005075,  -100.000000,    87.000000
     0.006825,  -100.000000,   257.000000
     0.005625,  -100.000000,   158.000000
     0.011225,  -100.000000,   155.000000
     0.012700,  -100.000000,   339.000000
     0.005275,  -100.000000,   115.000000
     0.013425,  -100.000000,  1036.000000
     0.009450,  -100.000000,   813.000000
     0.005300,  -100.000000,   111.000000
     0.010000,  -100.000000,   717.000000
     0.007175,  -100.000000,   634.000000
     0.011125,  -100.000000,   164.000000
     0.007800,  -100.000000,    95.000000
     0.008175,  -100.000000,   121.000000
     0.009400,  -100.000000,   203.000000
     0.005925,  -100.000000,   196.000000
     0.007550,  -100.000000,   135.000000
     0.006600,  -100.000000,   371.000000
     0.005875,  -100.000000,    78.000000
     0.007950,  -100.000000,   631.000000
     0.019000,  -100.000000,  1023.000000
     0.006025,  -100.000000,   241.000000
     0.007225,  -100.000000,   450.000000
     0.005150,  -100.000000,   186.000000
     0.010275,  -100.000000,   319.000000
     0.009925,  -100.000000,   339.000000
     0.005725,  -100.000000,   848.000000
     0.005475,  -100.000000,   202.000000
     0.009025,  -100.000000,   168.000000
     0.006250,  -100.000000,   134.000000
     0.007750,  -100.000000,  1253.000000
     0.005350,  -100.000000,   507.000000
     0.012100,  -100.000000,   820.000000
     0.005175,  -100.000000,   331.000000
     0.007775,  -100.000000,   489.000000
     0.006100,  -100.000000,   247.000000
     0.009475,  -100.000000,   802.000000
     0.009650,  -100.000000,   779.000000
     0.005550,  -100.000000,   201.000000
     0.005800,  -100.000000,   227.000000
     0.006750,  -100.000000,   194.000000
     0.005725,  -100.000000,   392.000000
     0.005450,  -100.000000,   404.000000
     0.012075,  -100.000000,   746.000000
     0.010125,  -100.000000,   258.000000
     0.006175,  -100.000000,   219.000000
     0.009050,  -100.000000,   258.000000
